"supplier_id","provincia","estrato","A_personeria","A_rubro","A_cliente","A_escala","A_directa","A_registro","S_intensidad","S_tenure","S_cohorte","S_fundamento","n_adjudicaciones","primer_ejercicio","ultimo_ejercicio"
1,"CABA","core","PersFisica","SERV. PROFESIONAL ","cultura_educacion","grande","mayoria_directa","reg22plus","1adj","1anio","pers_fisica","consagrado",1,2022,2022
2,"Chubut","middle","PersFisica","ALIMENTOS","seguridad_defensa","media","mixto","reg22plus","2-5adj","2-4anios","pers_fisica","solo_aritmetico",4,2024,2025
3,"Santa Fe","core","PersFisica","ALQUILER","administracion","media","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2024,2024
4,"Santiago del Estero","outer","PersFisica","MANT. REPARACION Y","seguridad_defensa","media","sin_directa","reg22plus","2-5adj","1anio","pers_fisica","sin_fundamento",2,2024,2024
5,"Misiones","outer","PersFisica","OTROS","seguridad_defensa","chica","mixto","reg19_21","2-5adj","1anio","pers_fisica","solo_aritmetico",3,2023,2023
6,"Misiones","outer","PersFisica","MANT. REPARACION Y","infraestructura","chica","mayoria_directa","reg16_18","6-20adj","5+anios","pers_fisica","solo_aritmetico",13,2019,2025
7,"Tucumán","outer","PersFisica","SERV. PROFESIONAL ","ciencia_universidad","media","sin_directa","reg16_18","1adj","1anio","pers_fisica","sin_fundamento",1,2019,2019
8,"Mendoza","core","OtraForma","ALQUILER","administracion","grande","mayoria_directa","reg19_21","2-5adj","5+anios","sin_match","solo_aritmetico",3,2021,2025
10,"Corrientes","outer","PersFisica","ALQUILER","salud_social","media","mayoria_directa","reg19_21","1adj","1anio","pers_fisica","solo_aritmetico",1,2023,2023
11,"Córdoba","core","PersFisica","OTROS","seguridad_defensa","chica","mayoria_directa","reg22plus","6-20adj","1anio","pers_fisica","solo_aritmetico",7,2023,2023
13,"CABA","core","OtraForma","LIBRERIA PAP. Y UT","cultura_educacion","grande","mixto","reg19_21","2-5adj","2-4anios","fund_2011_2016","consagrado",2,2021,2022
14,"CABA","core","SRL","OTROS","ciencia_universidad","grande","mixto","reg16_18","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",2,2022,2025
