uoc,localidad,provincia,fuente
84/13 - Dirección de Remonta y Veterinaria,CABA,CABA,"Wikipedia Direccion de Remonta y Veterinaria; sede Arevalo 3065, Palermo"
84/16 - Comando Brigada Blindada II,Paraná,Entre Ríos,Wikipedia II Brigada Blindada: comando en Parana
84/21 - Comando Brigada Mecanizada XI,Río Gallegos,Santa Cruz,Wikipedia XI Brigada Mecanizada: comando en Rio Gallegos
HOSPITAL NACIONAL Y COMUNIDAD DR. RAMON CARRILLO,Torres,Buenos Aires,"argentina.gob.ar/salud/hospitalcarrillo (ex Colonia Montes de Oca, Torres, Lujan)"
46/13 - 13° Chubut - DNV,Trelew,Chubut,"argentina.gob.ar noticia 13 Distrito Chubut; El Chubut: Martin Cutillo 246, Trelew"
84/129 - Dirección de Arsenales,,,"Wikipedia Direccion de Arsenales + argentina.gob.ar: Boulogne Sur Mer, Av. Rolon 1445"
97/000 - Hospital Nacional Dr Baldomero Sommer,,,"OSM/Nominatim: RP24, General Rodriguez; sitio institucional"
47 - Dpto. de Compras y Servicios- INIDEP,,,OSM/Nominatim: Mar del Plata; sitio institucional
14/3 - Centro Atómico Bariloche - CNEA,,,OSM/Nominatim + CNEA: San Carlos de Bariloche
14/2 - Centro Atómico Ezeiza - CNEA,,,CNEA: Ezeiza
14/1 - Centro Atómico Constituyentes - CNEA,,,"CNEA: Villa Maipu, San Martin"
96 - Dirección General de Administración,,,"SAF 908 Hospital Posadas: El Palomar, Moron"
84/17 - Comando Brigada de Montaña V,,,Anexo Unidades EA (Wikipedia): guarnicion Salta
84/19 - Comando Brigada de Montaña VIII,,,Anexo Unidades EA (Wikipedia): guarnicion Salta
84/140 - Comando de Brigada de Monte III,,,"Wikipedia III Brigada de Monte: Resistencia, Chaco"
84/22 - Comando de Brigada de Monte XII,,,Wikipedia XII Brigada de Monte: Posadas
84/39 - Comando Brigada Paracaidista IV,,,Wikipedia IV Brigada Aerotransportada: Cordoba
84/15 - Comando de Brigada Blindada I,,,Wikipedia I Brigada Blindada + somosea.mil.ar: comando en Tandil
84/20 - Comando Brigada Mecanizada IX,,,Wikipedia IX Brigada Mecanizada: Comodoro Rivadavia
84/134 - Comando de Adiestramiento y Alistamiento,,,Anexo Unidades EA (Wikipedia): Campo de Mayo
84/07 - Dirección de Aviación de Ejercito - Ejercito Argentino,,,"Anexo Unidades EA (Wikipedia): Comando de Aviacion, Campo de Mayo"
84/24 - Colegio Militar de la Nación - Compras y Contrataciones,,,sede historica El Palomar
84/23 - Escuela de Suboficiales del Ejercito Sargento Cabral - Estado Mayor General del Ejercito,,,Escuela Sargento Cabral: Campo de Mayo
84/08 - Hospital General 602 Campo de Mayo,,,Anexo Unidades EA (Wikipedia): Hospital Militar Campo de Mayo
84/99 - Hospital Militar Regional Mendoza,,,Anexo Unidades EA (Wikipedia)
84/37 - Hospital Militar Regional Córdoba,,,Anexo Unidades EA (Wikipedia)
38/6 - INTENDENCIA NAVAL USHUAIA,,,denominacion de la unidad: Ushuaia
38/01 - ARSENAL NAVAL PUERTO BELGRANO,,,"Base Naval Puerto Belgrano: Punta Alta, partido de Coronel Rosales"
38/12 - Comando de la Flota de Mar,,,"asiento Base Naval Puerto Belgrano, Punta Alta"
38/2 - UOC Base Naval Puerto Belgrano - EMGA,,,Punta Alta
38/03 - UOC de la Intendencia Naval Puerto Belgrano - Armada Argentina,,,Punta Alta
38/37 - Hospital Naval Puerto Belgrano,,,Punta Alta
38/33 - Unidad Operativa de Contrataciones - Base Naval Mar del Plata,,,Base Naval Mar del Plata: denominacion
38/008 - Base Naval Zárate,,,Base Naval Mar del Plata: denominacion
38/25 - Base Aeronaval Comandante espora,,,"BACE: Bahia Blanca, partido de Bahia Blanca"
84/48 - Batallón de Ingenieros Anfibios 121,,,"gacetero NEA (script 14) + despliegue EA: Santo Tome, Corrientes"
46/04 - 4° Mendoza - DNV,,,denominacion del distrito: Mendoza
46/17 - 17° Entre Rios - DNV,,,sede del 17 Distrito: Parana
46/08 - 8° La Rioja - DNV,,,sede del 8 Distrito: La Rioja
40/028 - AREA DE MATERIAL RIO IV,,,"denominacion: Rio Cuarto, Cordoba"
40/016 - AREA MATERIAL QUILMES,,,denominacion: Quilmes
Departamento Contrataciones Córdoba - UOC 40/47,,,denominacion: Cordoba
Departamento Contrataciones Córdoba - UOC 40/49,,,denominacion: Cordoba
49/00 - Instituto Nacional de Vitivinicultura,,,INV sede central: Mendoza
88/00 - Compras - Instituto Nacional de Rehabilitación Psicofísica del Sur,,,INAREPS: Mar del Plata
84/30 - Liceo Militar General Paz,,,sede Cordoba
37/038 - Escuadrón 20 Orán,,,"Anexo Escuadrones GN (Wikipedia), Esc 20 -> San Ramón de la Nueva Orán"
