organismo,fecha_acta,fecha_envio-onc,descripcion,ccoo,planilla-adjunta,acto-administrativo
Dirección Nacional de Migraciones,2020-03-20,2020-04-29,"Comunicación Oficial enviada por la Dirección Nacional de Migraciones con el detalle del procedimiento COVID-19 N° 01/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-28807945-apn-dcpysdnm.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-28807945-apn-dcpysdnm.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-18848230-apn-dnmmi.pdf
Dirección Nacional de Migraciones,2020-03-25,2020-04-29,"Comunicación Oficial enviada por la Dirección Nacional de Migraciones con el detalle del procedimiento COVID-19 N° 02/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-28807945-apn-dcpysdnm.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-28807945-apn-dcpysdnm.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-19172904-apn-dnmmi.pdf
Dirección Nacional de Migraciones,2020-03-25,2020-04-29,"Comunicación Oficial enviada por la Dirección Nacional de Migraciones con el detalle del procedimiento COVID-19 N° 03/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-28807945-apn-dcpysdnm.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-28807945-apn-dcpysdnm.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-19172222-apn-dnmmi.pdf
Ejército Argentino,2020-04-07,2020-05-02,"Comunicación Oficial enviada por el Ejército Argentino con el detalle del procedimiento  COVID-19 Nº 02/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-29441143-apn-dgsea.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-29441143-apn-dgsea.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-28760575-apn-dgsea.pdf
Ejército Argentino,2020-03-28,2020-05-05,"Comunicación Oficial enviada por el Hospital Militar - Ejército Argentino con el detalle del procedimiento  COVID-19 Nº 01/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-29924828-apn-hmcea.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-29924828-apn-hmcea.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-19548167-apn-hmcea.pdf
Ejército Argentino,2020-03-28,2020-05-05,"Comunicación Oficial enviada por el Hospital Militar - Ejército Argentino con el detalle del procedimiento  COVID-19 Nº 02/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-29924828-apn-hmcea.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-29924828-apn-hmcea.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-19547565-apn-hmcea.pdf
Ejército Argentino,2020-03-28,2020-05-05,"Comunicación Oficial enviada por el Hospital Militar - Ejército Argentino con el detalle del procedimiento  COVID-19 Nº 03/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-29924828-apn-hmcea.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-29924828-apn-hmcea.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-19547795-apn-hmcea.pdf
Ejército Argentino,2020-03-28,2020-05-05,"Comunicación Oficial enviada por el Hospital Militar - Ejército Argentino con el detalle del procedimiento COVID-19 Nº 04/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-29924828-apn-hmcea.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-29924828-apn-hmcea.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-19548353-apn-hmcea.pdf
Ejército Argentino,N/A,2020-05-06,Comunicación Oficial enviada por la Dirección General de Educación - Ejército Argentino informando que no realizaron procedimientos de emergencia a la fecha. ,https://www.argentina.gob.ar/sites/default/files/no-2020-30214908-apn-dgeea.pdf,,
Ministerio de Ambiente y Desarrollo Sostenible,2020-03-25,2020-05-06,"Comunicación Oficial enviada por el Ministerio de Ambiente y Desarrollo Sostenible con el detalle del procedimiento COVID-19 Nº1/2020, planilla adjunta (reenviada en ME-2020-35966120-APN-DCCPYS#MAD) y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/me-2020-30194218-apn-dccpysmad.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_mad_covid-19_n1-2020.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-18849347-apn-ssgamad.pdf
