"provincia","share_actual","share_angosto","share_amplio","share_persona_fisica"
"Chaco",0.935,0.552,0.943,0.677
"Chubut",0.928,0.548,0.93,0.621
"Formosa",0.926,0.544,0.941,0.771
"Misiones",0.921,0.572,0.929,0.697
"Santa Cruz",0.917,0.485,0.94,0.664
"Tierra del Fuego",0.904,0.616,0.913,0.489
"Corrientes",0.89,0.687,0.894,0.599
"Jujuy",0.868,0.435,0.881,0.622
"La Pampa",0.865,0.262,0.897,0.617
"Santiago del Estero",0.849,0.349,0.881,0.7
"Neuquén",0.848,0.409,0.868,0.632
"Córdoba",0.847,0.727,0.852,0.42
"Catamarca",0.846,0.255,0.879,0.542
"Salta",0.836,0.678,0.85,0.654
"Mendoza",0.816,0.59,0.829,0.468
"La Rioja",0.812,0.296,0.812,0.578
"Entre Ríos",0.758,0.44,0.785,0.58
"Santa Fe",0.733,0.527,0.756,0.396
"Río Negro",0.718,0.406,0.734,0.66
"San Juan",0.718,0.437,0.722,0.527
"Buenos Aires",0.694,0.612,0.709,0.496
"Tucumán",0.692,0.429,0.724,0.575
"San Luis",0.63,0.372,0.645,0.479
"CABA",0.52,0.439,0.542,0.196
