organismo,n_adj,tipo,anclaje_territorial,asignacion
107 - Administración de Parques Nacionales,6208,administracion,True,rule
301 - Secretaria General de la Presidencia de la Nación,1510,administracion,False,rule
623 - Servicio Nacional de Sanidad y Calidad Agroalimentaria,1492,administracion,False,rule
305 - Jefatura de Gabinete de Ministros,1483,administracion,False,rule
661 - Comisión Nacional de Regulación de Transporte,1043,administracion,False,rule
201 - Dirección Nacional de Migraciones,979,administracion,True,rule
852 - Superintendencia de Riesgos del Trabajo,948,administracion,False,rule
651 - Ente Nacional Regulador del Gas,915,administracion,False,rule
609 - Instituto Nacional de Vitivinicultura,789,administracion,False,rule
332 - Ministerio de Justicia y Derechos Humanos,767,administracion,False,rule
307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto,759,administracion,False,rule
322 - Ministerio de Turismo y Deportes,648,administracion,False,rule
307 - Ministerio de Relaciones Exteriores y Culto,629,administracion,False,rule
205 - Agencia de Administración de Bienes del Estado,592,administracion,False,rule
321 - Instituto Nacional de Estadísticas y Censos,565,administracion,False,rule
207 - Ente Nacional de Comunicaciones,557,administracion,False,rule
109 - Sindicatura General de la Nación,541,administracion,False,rule
671 - JUNTA DE SEGURIDAD EN EL TRANSPORTE,520,administracion,False,rule
602 - Comisión Nacional de Valores,508,administracion,False,rule
347 - Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,506,administracion,False,rule
200 - Registro Nacional de las Personas,504,administracion,False,rule
325 - Ministerio del Interior,482,administracion,False,rule
357 - Ministerio de Economía,477,administracion,False,rule
669 - Administración Nacional de Aviación Civil,445,administracion,False,rule
362 - Ministerio de Desarrollo Productivo,437,administracion,False,rule
852 - Superintendencia de Riesgos de Trabajo,397,administracion,False,rule
317 - Ministerio de Ambiente y Desarrollo Sostenible,393,administracion,False,rule
622 - Instituto Nacional de la Propiedad Industrial,384,administracion,False,rule
338 - Secretaria Legal y Técnica,376,administracion,False,rule
114 - Instituto Nacional de Asociativismo y Economía Social,371,administracion,False,rule
366 - Secretaría de Gobierno de Modernización,343,administracion,False,rule
357- Ministerio de Hacienda,338,administracion,False,rule
614 - Instituto Nacional de Semillas,283,administracion,False,rule
664 - Organismo Regulador del Sistema Nacional de Aeropuertos,252,administracion,False,rule
652 - Ente Nacional Regulador de la Electricidad,233,administracion,False,rule
362 - Ministerio de Producción y Trabajo,231,administracion,False,rule
603 - Superintendencia de Seguros de la Nación,219,administracion,False,rule
203 - Agencia Nacional de Seguridad Vial,193,administracion,False,rule
349 - Procuración del Tesoro de la Nación,186,administracion,False,rule
208 - Agencia Nacional de Materiales Controlados,174,administracion,False,rule
670 - Unidad de Información Financiera,166,administracion,False,rule
363 - Ministerio de Agricultura; Ganadería y Pesca,165,administracion,False,rule
317 - Secretaría de Gobierno de Ambiente y Desarrollo Sustentable,153,administracion,False,rule
322 - Secretaría de Gobierno de Turismo,153,administracion,False,rule
366 - Secretaría de Innovación Pública,135,administracion,False,rule
202 - Instituto Nacional contra la Discriminación; Xenofobia y el Racismo,127,administracion,False,rule
366 - Ministerio de Modernización,122,administracion,False,rule
620 - Tribunal Fiscal de la Nación,118,administracion,False,rule
