"categoria","n","dim.1","dim.2","dim.3","ctr.dim.1","ctr.dim.2","ctr.dim.3","cos2.dim.1","cos2.dim.2","cos2.dim.3"
"A_personeria.OtraForma",956,1.02,-0.46,-0.62,5.8,1.2,2.6,0.104,0.021,0.038
"A_personeria.PersFisica",4278,-0.11,-0.83,0.11,0.3,17.8,0.4,0.008,0.463,0.009
"A_personeria.SA",2850,0.1,0.95,0.17,0.2,15.6,0.6,0.004,0.331,0.011
"A_personeria.SRL",2496,-0.33,0.51,-0.15,1.6,4,0.4,0.034,0.08,0.007
"A_rubro.ALIMENTOS",635,-0.67,-0.26,1,1.6,0.3,4.5,0.028,0.004,0.063
"A_rubro.ALQUILER",907,1.79,-0.51,1.63,16.8,1.4,17.3,0.3,0.024,0.248
"A_rubro.EQUIPOS",628,-0.09,1.25,-0.38,0,6,0.7,0,0.099,0.009
"A_rubro.MANT. REPARACION Y",2107,-0.13,-0.27,-0.34,0.2,0.9,1.7,0.004,0.018,0.028
"A_rubro.OTROS",3264,-0.48,0.11,0.13,4.3,0.3,0.4,0.102,0.006,0.008
"A_rubro.SERV. PROFESIONAL ",1841,0.52,-0.06,-1.06,2.8,0,14.8,0.056,0.001,0.235
"A_cliente.administracion",2440,0.38,0.15,-0.65,2.1,0.3,7.3,0.044,0.007,0.125
"A_cliente.ciencia_universidad",764,-0.08,0.56,-0.44,0,1.5,1.1,0.001,0.025,0.015
"A_cliente.cultura_educacion",588,0.69,0.06,-0.53,1.6,0,1.2,0.028,0,0.017
"A_cliente.infraestructura",1296,0.18,-0.2,-0.61,0.3,0.3,3.5,0.005,0.005,0.052
"A_cliente.salud_social",1475,1.11,0.17,1.43,10.4,0.3,21.6,0.198,0.005,0.329
"A_cliente.seguridad_defensa",4017,-0.78,-0.2,0.23,14.2,1,1.5,0.375,0.026,0.032
"A_escala.chica",3407,-0.65,-0.46,0.19,8.3,4.5,0.9,0.2,0.102,0.017
"A_escala.grande",3407,0.78,0.61,-0.06,11.9,7.6,0.1,0.288,0.174,0.002
"A_escala.media",3406,-0.14,-0.2,-0.09,0.4,0.8,0.2,0.009,0.019,0.004
"A_directa.mayoria_directa",4507,0.41,-0.53,0.15,4.4,7.6,0.7,0.127,0.206,0.017
"A_directa.mixto",2505,-0.72,0.59,0.57,7.5,5.4,6,0.16,0.109,0.102
"A_directa.sin_directa",3568,-0.02,0.25,-0.59,0,1.3,9.1,0,0.032,0.18
"A_registro.reg16_18",5858,-0.15,0.5,0.16,0.7,8.8,1.1,0.027,0.306,0.032
"A_registro.reg19_21",2860,0.47,-0.39,-0.07,3.7,2.7,0.1,0.083,0.057,0.002
"A_registro.reg22plus",1862,-0.26,-0.96,-0.39,0.7,10.5,2.1,0.015,0.197,0.033
