"variable","categoria","dim.1","dim.2","dim.3","typic.dim.1","typic.dim.2","typic.dim.3"
"estrato","core",-0.005,0.176,0.04,-0.9,32.3,7.3
"estrato","middle",0.086,-0.469,-0.239,3.3,-18.1,-9.3
"estrato","outer",-0.061,-0.656,-0.007,-2.3,-24.4,-0.3
"intensidad","1adj",0.314,-0.253,-0.296,24.3,-19.6,-23
"intensidad","2-5adj",0.122,-0.01,0.015,9.2,-0.8,1.1
"intensidad","6-20adj",-0.338,0.3,0.206,-16,14.2,9.8
"intensidad","20+adj",-0.827,0.364,0.565,-30.9,13.6,21.1
"tenure","1anio",0.178,-0.253,-0.248,16.6,-23.7,-23.3
"tenure","2-4anios",-0.081,-0.015,0.056,-5.2,-1,3.6
"tenure","5+anios",-0.217,0.448,0.365,-13.4,27.7,22.6
"cohorte_arca","fund_2001_2010",-0.004,0.75,0.024,-0.2,34.8,1.1
"cohorte_arca","fund_2011_2016",-0.038,0.6,-0.137,-1.3,20.8,-4.7
"cohorte_arca","fund_2017plus",0.006,-0.064,-0.39,0.2,-2.1,-12.7
"cohorte_arca","fund_pre2000",0.022,0.831,0.124,1.2,43.1,6.4
"cohorte_arca","pers_fisica",-0.106,-0.826,0.113,-9,-70,9.5
"cohorte_arca","sin_match",1.389,-0.528,-0.821,25.4,-9.6,-15
