"variable","categoria","n","share"
"intensidad","1adj",3832,36.2
"intensidad","2-5adj",3655,34.5
"intensidad","6-20adj",1857,17.6
"intensidad","20+adj",1236,11.7
"tenure","1anio",4799,45.4
"tenure","2-4anios",2970,28.1
"tenure","5+anios",2811,26.6
"cohorte_arca","fund_2001_2010",1785,16.9
"cohorte_arca","fund_2011_2016",1079,10.2
"cohorte_arca","fund_2017plus",970,9.2
"cohorte_arca","fund_pre2000",2145,20.3
"cohorte_arca","pers_fisica",4278,40.4
"cohorte_arca","sin_match",323,3.1
"fundamento","consagrado",1226,11.6
"fundamento","sin_fundamento",3619,34.2
"fundamento","solo_aritmetico",5735,54.2
"estrato","core",8044,76
"estrato","middle",1313,12.4
"estrato","outer",1223,11.6
