"provincia","proveedores","n_adj","share_prov_lider","share_norm"
"San Juan",110,1100,0.649,0.646
"Corrientes",157,3870,0.405,0.401
"San Luis",73,670,0.319,0.31
"Río Negro",191,1172,0.288,0.284
"La Pampa",94,370,0.243,0.235
"Salta",133,581,0.239,0.233
"Tierra del Fuego",131,794,0.207,0.201
"Tucumán",134,555,0.186,0.18
"Misiones",228,1272,0.15,0.146
"Mendoza",326,3642,0.146,0.143
"Catamarca",59,247,0.154,0.139
"Chaco",161,1047,0.138,0.133
"Chubut",243,1291,0.137,0.133
"La Rioja",64,223,0.13,0.116
"Santa Cruz",140,517,0.106,0.1
"Formosa",111,408,0.105,0.097
"Santiago del Estero",81,252,0.107,0.096
"Santa Fe",459,5419,0.095,0.093
"Neuquén",155,508,0.098,0.092
"Entre Ríos",177,1045,0.091,0.086
"Córdoba",690,11132,0.079,0.078
"Jujuy",98,379,0.061,0.051
"Buenos Aires",2624,48748,0.04,0.04
"CABA",3963,77884,0.025,0.025
