"provincia","estrato","n_proveedores","comunes","rv_nacional","congr_eje1","eje1_matchea","congr_eje1_vs_1","congr_eje2","eje2_matchea","congr_eje2_vs_2","comunes_prop","rv_provincial","congr_eje2_prop"
"CABA","core",3954,25,0.495,0.711,2,0.641,0.526,1,0.256,24,0.738,0.606
"Buenos Aires","core",2618,25,0.709,0.973,1,0.973,0.809,2,0.809,24,0.696,0.836
"Córdoba","core",690,25,0.673,0.701,1,0.701,0.691,2,0.691,24,0.698,0.742
"Santa Fe","core",457,25,0.753,0.761,1,0.761,0.846,2,0.846,23,0.772,0.895
"Mendoza","core",325,25,0.557,0.88,1,0.88,0.614,3,0.107,23,0.67,0.359
"Chubut","middle",243,25,0.605,0.769,1,0.769,0.364,3,0.309,21,0.549,0.674
"Misiones","outer",228,24,0.416,0.741,1,0.741,0.411,3,0.039,21,0.742,0.363
"Río Negro","middle",191,25,0.535,0.689,1,0.689,0.428,3,0.422,22,0.627,0.46
"Entre Ríos","middle",176,25,0.675,0.818,1,0.818,0.787,3,0.129,23,0.787,0.827
"Chaco","outer",161,24,0.542,0.783,1,0.783,0.273,2,0.273,22,0.643,0.35
"Corrientes","outer",157,25,0.437,0.793,1,0.793,0.751,2,0.751,22,0.793,0.777
"Neuquén","middle",155,25,0.601,0.772,1,0.772,0.446,2,0.446,23,0.615,0.409
