"provincia","p_obs","p_cf","tipos_presentes","anclado"
"CABA",10.98,9.19,6,0.52017102357352
"San Luis",1.49,2.25,6,0.629850746268657
"Tucumán",3.72,5.63,6,0.691891891891892
"Buenos Aires",2.57,2.69,6,0.693874620497251
"San Juan",1.89,1.87,6,0.718181818181818
"Río Negro",3.18,4.62,6,0.718430034129693
"Santa Fe",3.11,4.18,6,0.733345635726149
"Entre Ríos",2.31,4.2,6,0.757894736842105
"La Rioja",6.72,6.03,5,0.811659192825112
"Mendoza",2.88,3.85,6,0.816309719934102
"Salta",3.74,5.81,6,0.836488812392427
"Catamarca",0.68,3.87,6,0.846153846153846
"Córdoba",1.99,5.27,6,0.847107438016529
"Neuquén",10.6,9.29,6,0.848425196850394
"Santiago del Estero",0.57,3.87,6,0.849206349206349
"La Pampa",3.92,4.57,6,0.864864864864865
"Jujuy",0.95,2.4,5,0.868073878627968
"Corrientes",0.8,1.51,6,0.890180878552972
"Tierra del Fuego",1,2.37,6,0.904282115869018
"Santa Cruz",1.81,5.21,6,0.916827852998066
"Misiones",3.9,9.92,6,0.92059748427673
"Formosa",0.34,4.4,5,0.926470588235294
"Chubut",2.52,5.19,6,0.927962819519752
"Chaco",1.25,3.22,6,0.93505253104107
