"provincia","proveedores","pct_consagrados","anclado"
"CABA",3963,21.373,0.52
"San Luis",73,5.479,0.63
"Tucumán",134,2.985,0.692
"Buenos Aires",2624,7.393,0.694
"Río Negro",191,4.712,0.718
"San Juan",110,3.636,0.718
"Santa Fe",459,6.1,0.733
"Entre Ríos",177,3.955,0.758
"La Rioja",64,10.938,0.812
"Mendoza",326,6.442,0.816
"Salta",133,6.015,0.836
"Catamarca",59,1.695,0.846
"Córdoba",690,5.217,0.847
"Neuquén",155,7.742,0.848
"Santiago del Estero",81,1.235,0.849
"La Pampa",94,3.191,0.865
"Jujuy",98,2.041,0.868
"Corrientes",157,3.822,0.89
"Tierra del Fuego",131,2.29,0.904
"Santa Cruz",140,2.857,0.917
"Misiones",228,5.263,0.921
"Formosa",111,0.901,0.926
"Chubut",243,3.292,0.928
"Chaco",161,2.484,0.935
