"rubro_principal","n","pct_pf","pct_soc","n_pf","n_soc","mayor_en_sociedades"
"SERV. PROFESIONAL Y COMERCIAL",5610,28.86,27.41,1327,4283,FALSE
"MANT. REPARACION Y LIMPIEZA",5471,2.17,15.35,1887,3584,TRUE
"ELECTRICIDAD Y TELEFONIA",5102,0.04,0.93,2402,2700,TRUE
"REPUESTOS",3803,0.06,6.64,1770,2033,TRUE
"EQUIPOS",3304,0.68,5.62,1169,2135,TRUE
"ELEMENTOS DE LIMPIEZA",3291,0,0.24,1204,2087,TRUE
"LIBRERIA PAP. Y UTILES OFICINA",3012,6.28,11.9,1290,1722,TRUE
"FERRETERIA",2985,0,0.7,1273,1712,TRUE
"COMBUSTIBLES Y LUBRICANTES",2256,0,2.44,944,1312,TRUE
"ALIMENTOS",2252,0.09,0.36,1142,1110,TRUE
"BAZAR Y MENAJE",2207,0,0,906,1301,FALSE
"PROD. MEDICO/FARMACEUTICOS/LAB",2206,0,12.14,501,1705,TRUE
"INFORMATICA",1711,0.56,10.9,537,1174,TRUE
"ARTICULOS DEL HOGAR",1703,0,0.13,930,773,TRUE
"ALQUILER",1580,2.65,12.93,830,750,TRUE
"BANCOS Y SEGUROS",1477,0,1.22,5,1472,TRUE
"INDUMENT TEXTIL Y CONFECCIONES",1307,0,0.88,509,798,TRUE
"QUIMICOS",1108,0,10.69,219,889,TRUE
"EQUIPO DE OFICINA Y MUEBLES",1076,0,1.1,440,636,TRUE
"CERRAJERIA",787,0,0,424,363,FALSE
"IMPRENTA Y EDITORIALES",689,11.67,14.15,180,509,TRUE
"CARPINTERIA",664,0.29,0,346,318,FALSE
"SERVICIOS BASICOS",602,15.38,6.75,39,563,FALSE
"HERRAMIENTAS",432,0,2.34,176,256,TRUE
"CONSTRUCCION",325,0,1.14,150,175,TRUE
"MATERIALES DE CONSTRUCCION",320,0,1.52,123,197,TRUE
