"provincia","p_obs","p_cf","tipos_presentes","anclado"
"Chaco",0.775,0.796,6,0.935
"Chubut",0.675,0.69,6,0.928
"Formosa",0.759,0.807,5,0.926
"Misiones",0.707,0.687,6,0.921
"Santa Cruz",0.698,0.682,6,0.917
"Tierra del Fuego",0.476,0.533,6,0.904
"Corrientes",0.642,0.645,6,0.89
"Jujuy",0.565,0.609,5,0.868
"La Pampa",0.403,0.415,6,0.865
"Neuquén",0.659,0.696,6,0.848
"Santiago del Estero",0.716,0.812,6,0.848
"Córdoba",0.473,0.457,6,0.847
"Catamarca",0.275,0.329,6,0.846
"Salta",0.633,0.683,6,0.836
"Mendoza",0.54,0.53,6,0.817
"La Rioja",0.439,0.409,6,0.812
"Entre Ríos",0.502,0.52,6,0.758
"Santa Fe",0.348,0.339,6,0.734
"Río Negro",0.69,0.744,6,0.718
"San Juan",0.793,0.81,6,0.718
"Buenos Aires",0.545,0.531,6,0.694
"Tucumán",0.393,0.345,6,0.692
"San Luis",0.397,0.39,6,0.63
"CABA",0.181,0.188,6,0.52
