"provincia","n_anclado","n_no_anclado","pi_anclado","pi_no_anclado","anclado"
"Chaco",979,68,0.788,0.588,0.935
"Chubut",1198,93,0.684,0.559,0.928
"Formosa",376,30,0.755,0.8,0.926
"Misiones",1171,101,0.715,0.614,0.921
"Santa Cruz",474,43,0.696,0.721,0.917
"Tierra del Fuego",718,76,0.467,0.566,0.904
"Corrientes",3445,425,0.643,0.631,0.89
"Jujuy",329,50,0.538,0.74,0.868
"La Pampa",320,50,0.4,0.42,0.865
"Neuquén",431,77,0.684,0.519,0.848
"Santiago del Estero",212,38,0.708,0.763,0.848
"Córdoba",9430,1702,0.488,0.39,0.847
"Catamarca",209,38,0.234,0.5,0.846
"Salta",486,95,0.619,0.705,0.836
"Mendoza",2973,668,0.557,0.467,0.817
"La Rioja",181,42,0.414,0.548,0.812
"Entre Ríos",791,253,0.573,0.281,0.758
"Santa Fe",3974,1442,0.388,0.239,0.734
"Río Negro",842,330,0.736,0.573,0.718
"San Juan",790,310,0.834,0.687,0.718
"Buenos Aires",33812,14920,0.6,0.419,0.694
"Tucumán",384,171,0.375,0.433,0.692
"San Luis",422,248,0.415,0.367,0.63
"CABA",40513,37359,0.228,0.13,0.52
