"estrato","eje_cs","categoria","contrib","coord"
"core",1,"A_cliente.seguridad_defensa",15.3,-0.82
"core",1,"A_escala.grande",14,0.85
"core",1,"A_directa.mixto",12.7,-0.95
"core",1,"A_escala.chica",8.6,-0.67
"core",1,"A_cliente.salud_social",7.8,0.97
"core",1,"A_rubro.ALQUILER",7.6,1.22
"core",1,"A_rubro.SERV. PROFESIONAL ",6.6,0.79
"core",1,"A_rubro.OTROS",4.9,-0.51
"core",2,"A_personeria.SA",19.5,1.06
"core",2,"A_personeria.PersFisica",13,-0.71
"core",2,"A_rubro.EQUIPOS",11.8,1.75
"core",2,"A_directa.mayoria_directa",8,-0.54
"core",2,"A_registro.reg16_18",7.9,0.47
"core",2,"A_registro.reg22plus",6.3,-0.74
"core",2,"A_escala.grande",5.9,0.53
"core",2,"A_directa.mixto",5.3,0.59
"middle",1,"A_cliente.infraestructura",55.5,3.35
"middle",1,"A_personeria.OtraForma",7.5,1.43
"middle",1,"A_cliente.administracion",7.1,-0.88
"middle",1,"A_registro.reg22plus",4.8,-0.82
"middle",1,"A_directa.sin_directa",4.1,-0.55
"middle",1,"A_cliente.seguridad_defensa",3.6,-0.48
"middle",1,"A_personeria.PersFisica",3.5,-0.47
"middle",1,"A_registro.reg19_21",3.2,0.54
"middle",2,"A_rubro.ALQUILER",46.6,-3.19
"middle",2,"A_cliente.salud_social",10.5,-1.19
"middle",2,"A_registro.reg22plus",7.8,0.91
"middle",2,"A_rubro.MANT. REPARACION Y",6.3,0.77
"middle",2,"A_directa.mayoria_directa",5.8,-0.5
"middle",2,"A_registro.reg19_21",5.2,-0.6
"middle",2,"A_directa.sin_directa",5,0.53
"middle",2,"A_escala.grande",3.8,-0.47
"outer",1,"A_cliente.infraestructura",52.4,3.2
"outer",1,"A_rubro.ALIMENTOS",14.1,-2.37
"outer",1,"A_cliente.seguridad_defensa",8.5,-0.73
"outer",1,"A_personeria.PersFisica",4.1,-0.49
"outer",1,"A_rubro.MANT. REPARACION Y",4,0.69
"outer",1,"A_personeria.OtraForma",3.8,1
"outer",1,"A_registro.reg22plus",2.8,-0.61
"outer",1,"A_rubro.ALQUILER",2.7,-0.87
"outer",2,"A_rubro.ALQUILER",49.9,3.36
"outer",2,"A_cliente.salud_social",9.5,1.15
"outer",2,"A_rubro.ALIMENTOS",9.3,-1.73
"outer",2,"A_escala.chica",6.9,-0.65
"outer",2,"A_escala.grande",5.3,0.57
"outer",2,"A_registro.reg19_21",3.7,0.51
"outer",2,"A_cliente.seguridad_defensa",3.2,-0.4
"outer",2,"A_registro.reg22plus",2.5,-0.52
