"provincia","era","n","share_directa","nea"
"Buenos Aires","fernandez",27308,0.318478101655193,FALSE
"Buenos Aires","macri",8946,0.460541023921306,FALSE
"Buenos Aires","milei",20017,0.264575111155518,FALSE
"CABA","fernandez",44803,0.379371917059125,FALSE
"CABA","macri",18706,0.491393135892227,FALSE
"CABA","milei",28509,0.278122698095338,FALSE
"Catamarca","fernandez",148,0.608108108108108,FALSE
"Catamarca","macri",98,0.724489795918367,FALSE
"Catamarca","milei",55,0.4,FALSE
"Chaco","fernandez",600,0.406666666666667,TRUE
"Chaco","macri",284,0.623239436619718,TRUE
"Chaco","milei",334,0.284431137724551,TRUE
"Chubut","fernandez",784,0.409438775510204,FALSE
"Chubut","macri",231,0.636363636363636,FALSE
"Chubut","milei",464,0.267241379310345,FALSE
"Corrientes","fernandez",2189,0.45317496573778,TRUE
"Corrientes","macri",543,0.370165745856354,TRUE
"Corrientes","milei",1539,0.430799220272904,TRUE
"Córdoba","fernandez",6056,0.397291941875826,FALSE
"Córdoba","macri",1736,0.575460829493088,FALSE
"Córdoba","milei",4949,0.323095574863609,FALSE
"Entre Ríos","fernandez",615,0.39349593495935,FALSE
"Entre Ríos","macri",173,0.543352601156069,FALSE
"Entre Ríos","milei",425,0.317647058823529,FALSE
"Formosa","fernandez",265,0.750943396226415,TRUE
"Formosa","macri",37,0.621621621621622,TRUE
"Formosa","milei",133,0.646616541353383,TRUE
"Jujuy","fernandez",249,0.578313253012048,FALSE
"Jujuy","macri",68,0.514705882352941,FALSE
"Jujuy","milei",101,0.584158415841584,FALSE
"La Pampa","fernandez",233,0.424892703862661,FALSE
"La Pampa","macri",123,0.634146341463415,FALSE
"La Pampa","milei",70,0.314285714285714,FALSE
"La Rioja","fernandez",130,0.7,FALSE
"La Rioja","macri",61,0.639344262295082,FALSE
"La Rioja","milei",65,0.384615384615385,FALSE
"Mendoza","fernandez",1630,0.433128834355828,FALSE
"Mendoza","macri",494,0.635627530364372,FALSE
"Mendoza","milei",2195,0.301594533029613,FALSE
"Misiones","fernandez",671,0.441132637853949,TRUE
"Misiones","macri",163,0.52760736196319,TRUE
"Misiones","milei",597,0.385259631490787,TRUE
"Neuquén","fernandez",284,0.366197183098592,FALSE
"Neuquén","macri",102,0.57843137254902,FALSE
"Neuquén","milei",216,0.12962962962963,FALSE
"Río Negro","fernandez",749,0.4913217623498,FALSE
"Río Negro","macri",246,0.650406504065041,FALSE
"Río Negro","milei",323,0.380804953560372,FALSE
"Salta","fernandez",311,0.414790996784566,FALSE
"Salta","macri",146,0.479452054794521,FALSE
"Salta","milei",223,0.367713004484305,FALSE
"San Juan","fernandez",636,0.493710691823899,FALSE
"San Juan","macri",127,0.645669291338583,FALSE
"San Juan","milei",459,0.461873638344227,FALSE
"San Luis","fernandez",350,0.442857142857143,FALSE
"San Luis","macri",210,0.528571428571429,FALSE
"San Luis","milei",208,0.278846153846154,FALSE
"Santa Cruz","fernandez",311,0.414790996784566,FALSE
"Santa Cruz","macri",109,0.532110091743119,FALSE
"Santa Cruz","milei",184,0.423913043478261,FALSE
"Santa Fe","fernandez",2672,0.460703592814371,FALSE
"Santa Fe","macri",1105,0.583710407239819,FALSE
"Santa Fe","milei",2448,0.33047385620915,FALSE
"Santiago del Estero","fernandez",145,0.675862068965517,FALSE
"Santiago del Estero","macri",83,0.783132530120482,FALSE
"Santiago del Estero","milei",84,0.678571428571429,FALSE
"Tierra del Fuego","fernandez",397,0.445843828715365,FALSE
"Tierra del Fuego","macri",217,0.327188940092166,FALSE
"Tierra del Fuego","milei",282,0.404255319148936,FALSE
"Tucumán","fernandez",286,0.447552447552448,FALSE
"Tucumán","macri",145,0.682758620689655,FALSE
"Tucumán","milei",246,0.378048780487805,FALSE
