"variable","categoria","n_adj","km_mediana","km_p25","km_p75"
"A_personeria","OtraForma",7135,20,0,547
"A_personeria","PersFisica",47721,38,0,589
"A_personeria","SA",45317,0,0,231
"A_personeria","SRL",39021,12,0,369
"A_escala","chica",82761,23,0,575
"A_escala","grande",19506,0,0,35
"A_escala","media",36315,4,0,167
"A_escala","sin_ars",612,0,0,274
"A_directa","mayoria_directa",30965,12,0,386
"A_directa","mixto",97491,15,0,536
"A_directa","sin_directa",10738,6,0,130
"A_registro","reg16_18",114214,12,0,390
"A_registro","reg19_21",15885,24,0,570
"A_registro","reg22plus",9095,73,0,651
"q2","Q1",14990,93,4,663
"q2","Q2",36142,22,0,571
"q2","Q3",42624,12,0,490
"q2","Q4",45438,0,0,132
