"categoria","coord3","ctr3"
"A_cliente.salud_social",1.43,21.6
"A_rubro.ALQUILER",1.63,17.3
"A_rubro.SERV. PROFESIONAL ",-1.06,14.8
"A_directa.sin_directa",-0.59,9.1
"A_cliente.administracion",-0.65,7.3
"A_directa.mixto",0.57,6
"A_rubro.ALIMENTOS",1,4.5
"A_cliente.infraestructura",-0.61,3.5
"A_personeria.OtraForma",-0.62,2.6
"A_registro.reg22plus",-0.39,2.1
"A_rubro.MANT. REPARACION Y",-0.34,1.7
"A_cliente.seguridad_defensa",0.23,1.5
"A_cliente.cultura_educacion",-0.53,1.2
"A_cliente.ciencia_universidad",-0.44,1.1
"A_registro.reg16_18",0.16,1.1
"A_escala.chica",0.19,0.9
"A_rubro.EQUIPOS",-0.38,0.7
"A_directa.mayoria_directa",0.15,0.7
"A_personeria.SA",0.17,0.6
"A_personeria.PersFisica",0.11,0.4
"A_personeria.SRL",-0.15,0.4
"A_rubro.OTROS",0.13,0.4
"A_escala.media",-0.09,0.2
"A_escala.grande",-0.06,0.1
"A_registro.reg19_21",-0.07,0.1
