"provincia","anio","planta","habitantes","empleo_x1000hab"
"CABA",1987,84292,2935864,28.7111392080832
"Buenos Aires",1987,274889,12005834,22.8962852559847
"Catamarca",1987,22185,241915,91.7057644213877
"Córdoba",1987,72722,2637724,27.5699807864659
"Corrientes",1987,35843,735898,48.7064783434661
"Chaco",1987,38523,769801,50.042803269936
"Chubut",1987,16231,320954,50.5711098786742
"Entre Ríos",1987,34780,979268,35.5163244382539
"Formosa",1987,28990,338720,85.5869154463864
"Jujuy",1987,31846,477517,66.6908193844408
"La Pampa",1987,14405,239766,60.0794107588232
"La Rioja",1987,18344,197153,93.0444882908198
"Mendoza",1987,38098,1331028,28.6229891482373
"Misiones",1987,25809,710715,36.3141343576539
"Neuquén",1987,22842,328780,69.4750288947016
"Río Negro",1987,23691,462795,51.1911321427414
"Salta",1987,40860,786731,51.936430622411
"San Juan",1987,18836,507925,37.0842151892504
"San Luis",1987,16109,255615,63.0205582614479
"Santa Cruz",1987,14285,142077,100.544071172674
"Santa Fe",1987,67242,2672980,25.1561927137502
"Santiago del Estero",1987,29973,647064,46.3215385186009
"Tucumán",1987,45676,1087618,41.9963626935192
"Tierra del Fuego",1987,3808,50602,75.2539425319157
"CABA",1988,87552,2940938,29.770093759202
"Buenos Aires",1988,279911,12147025,23.0435847460592
"Catamarca",1988,21517,247434,86.9605632208993
"Córdoba",1988,76143,2669675,28.521449240076
"Corrientes",1988,36440,746959,48.7844714368526
"Chaco",1988,38318,777830,49.2626923620843
"Chubut",1988,20753,329660,62.9527391858278
"Entre Ríos",1988,36285,989628,36.6652924129067
"Formosa",1988,30060,344810,87.1784461007511
"Jujuy",1988,36499,486638,75.002363152898
"La Pampa",1988,14483,244680,59.1915971881641
"La Rioja",1988,17511,202756,86.3648917911184
"Mendoza",1988,39668,1348846,29.4088428182313
"Misiones",1988,29009,729421,39.7698996875604
"Neuquén",1988,24492,342421,71.5259870159832
"Río Negro",1988,25256,473802,53.3049670537482
"Salta",1988,44273,805549,54.9600334678586
"San Juan",1988,19459,512894,37.9396132534208
"San Luis",1988,15929,262814,60.6094043696302
"Santa Cruz",1988,15086,146343,103.086584257532
"Santa Fe",1988,70778,2701030,26.2040777036908
"Santiago del Estero",1988,30528,653337,46.7262683729836
"Tucumán",1988,47326,1102043,42.9438778704642
"Tierra del Fuego",1988,4146,54934,75.4723850438708
"CABA",1989,87585,2946814,29.7219301930831
"Buenos Aires",1989,282480,12282784,22.9980434403145
"Catamarca",1989,22615,253111,89.3481516014713
"Córdoba",1989,79036,2701401,29.2574112469789
"Corrientes",1989,38417,758125,50.6737015663644
"Chaco",1989,41776,785423,53.189173222582
"Chubut",1989,20502,338478,60.5711449488593
"Entre Ríos",1989,40805,1000044,40.803204658995
"Formosa",1989,32809.97,350892,93.5044686114246
"Jujuy",1989,36748,495627,74.1444675128675
"La Pampa",1989,14892,249697,59.6402840242374
"La Rioja",1989,20430,208583,97.9466207696696
"Mendoza",1989,40747,1366305,29.8227701721065
"Misiones",1989,29407,748457,39.2901663021389
"Neuquén",1989,25994,356439,72.9269243825732
"Río Negro",1989,27402,484725,56.5310227448553
"Salta",1989,45899,824648,55.6588993121914
"San Juan",1989,20837,517606,40.2564885260217
"San Luis",1989,15676,270341,57.9860250572425
"Santa Cruz",1989,15521,150706,102.988600321155
"Santa Fe",1989,73955,2728686,27.1027886682454
"Santiago del Estero",1989,30691,659315,46.5498282308153
