"region","ejercicio","activos","entradas","tasa_entrada"
"Metro",2016,114,114,1
"Metro",2017,1217,1141,0.937551355792933
"Metro",2018,2411,1685,0.69888013272501
"Metro",2019,2796,1293,0.46244635193133
"Metro",2020,2299,650,0.282731622444541
"Metro",2021,2879,846,0.29385203195554
"Metro",2022,2791,643,0.23038337513436
"Metro",2023,2591,463,0.17869548436897
"Metro",2024,2104,364,0.173003802281369
"Metro",2025,2277,401,0.17610891523935
"Metro",2026,1508,147,0.0974801061007958
"NEA",2017,19,19,1
"NEA",2018,108,98,0.907407407407407
"NEA",2019,171,108,0.631578947368421
"NEA",2020,187,89,0.475935828877005
"NEA",2021,233,93,0.399141630901288
"NEA",2022,239,82,0.343096234309623
"NEA",2023,210,57,0.271428571428571
"NEA",2024,207,66,0.318840579710145
"NEA",2025,216,77,0.356481481481481
"NEA",2026,105,15,0.142857142857143
"Resto",2016,4,4,1
"Resto",2017,134,132,0.985074626865672
"Resto",2018,867,803,0.926182237600923
"Resto",2019,1102,671,0.608892921960073
"Resto",2020,939,378,0.402555910543131
"Resto",2021,1212,462,0.381188118811881
"Resto",2022,1214,405,0.333607907742998
"Resto",2023,1123,314,0.279608192341941
"Resto",2024,907,233,0.256890848952591
"Resto",2025,1048,287,0.273854961832061
"Resto",2026,570,103,0.180701754385965
