"forma","rubro_principal","n_adj_Metro","n_adj_NEA","mediana_real_Metro","mediana_real_NEA","mediana_usd_Metro","mediana_usd_NEA","ratio_usd"
"Persona fisica","AGRIC GANADERIA CAZA SILVICULT",426,39,2027844,382747,1915,362,0.189
"Persona fisica","ALIMENTOS",2412,724,3895543,2876985,3728,2931,0.786
"Persona fisica","ALQUILER",449,73,28232623,1.8e+07,26994,17034,0.631
"Persona fisica","ARTICULOS DEL HOGAR",2294,193,1805327,1345824,1713,1244,0.726
"Persona fisica","BAZAR Y MENAJE",2822,336,1062484,268854,987,255,0.258
"Persona fisica","CARPINTERIA",1736,106,2115216,3055310,2071,2790,1.347
"Persona fisica","CERRAJERIA",1656,69,1219234,1624608,1126,1304,1.158
"Persona fisica","COMBUSTIBLES Y LUBRICANTES",1893,101,1189980,616000,1111,526,0.473
"Persona fisica","CONSTRUCCION",371,31,1712367,1920236,1597,1834,1.148
"Persona fisica","ELECTRICIDAD Y TELEFONIA",5562,264,1119619,1641562,1050,1679,1.599
"Persona fisica","ELEMENTOS DE LIMPIEZA",1672,343,839265,312333,778,299,0.384
"Persona fisica","EQUIPO DE OFICINA Y MUEBLES",609,58,1782409,1696159,1628,1782,1.095
"Persona fisica","EQUIPOS",1965,153,1899618,1670376,1798,1529,0.85
"Persona fisica","FERRETERIA",2548,113,1079471,940681,1027,871,0.848
"Persona fisica","HERRAMIENTAS",359,73,1320440,737280,1236,749,0.606
"Persona fisica","IMPRENTA Y EDITORIALES",336,45,1322352,556848,1250,494,0.395
"Persona fisica","INDUMENT TEXTIL Y CONFECCIONES",1265,70,1986384,1231019,1845,1366,0.74
"Persona fisica","INFORMATICA",575,125,1699997,593730,1583,608,0.384
"Persona fisica","INMUEBLES",82,137,2509404,48548161,2685,41254,15.365
"Persona fisica","LIBRERIA PAP. Y UTILES OFICINA",1762,492,1003485,479593,937,445,0.475
"Persona fisica","MANT. REPARACION Y LIMPIEZA",2389,554,7932016,5020871,7118,4305,0.605
"Persona fisica","REPUESTOS",2226,174,1474650,2478982,1410,2378,1.687
"Persona fisica","SERV. PROFESIONAL Y COMERCIAL",1775,123,7950210,3745080,7256,3395,0.468
"Sociedad","ALIMENTOS",5629,209,8659301,3077240,8171,2983,0.365
"Sociedad","ALQUILER",1360,30,21822108,11995152,20992,12288,0.585
"Sociedad","ARTICULOS DEL HOGAR",2488,58,2875635,802201,2685,853,0.318
"Sociedad","BAZAR Y MENAJE",4071,82,1222890,398652,1133,391,0.345
"Sociedad","COMBUSTIBLES Y LUBRICANTES",2289,86,2520913,1369990,2362,1455,0.616
"Sociedad","ELECTRICIDAD Y TELEFONIA",6377,323,1872315,367867,1702,359,0.211
"Sociedad","ELEMENTOS DE LIMPIEZA",4451,104,1237952,805834,1164,761,0.654
"Sociedad","EQUIPO DE OFICINA Y MUEBLES",1362,31,4192266,1448976,3794,1484,0.391
"Sociedad","EQUIPOS",4493,53,5532073,5138935,5099,4459,0.874
"Sociedad","FERRETERIA",3477,53,1621282,1174700,1498,1256,0.838
"Sociedad","INFORMATICA",1922,45,6826708,623961,6268,526,0.084
"Sociedad","LIBRERIA PAP. Y UTILES OFICINA",3400,95,1660810,559798,1617,525,0.325
"Sociedad","MANT. REPARACION Y LIMPIEZA",6819,270,13426884,7919457,12294,7081,0.576
"Sociedad","MATERIALES DE CONSTRUCCION",319,37,9477285,11747776,9337,13181,1.412
"Sociedad","REPUESTOS",3016,228,3206210,3515988,3061,3264,1.066
"Sociedad","SERV. PROFESIONAL Y COMERCIAL",6645,123,17983831,5671628,16902,5141,0.304
"Sociedad","VIGILANCIA Y SEGURIDAD",486,42,143519995,104805025,142565,91940,0.645
