"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"CABA",-34.6075,-58.4371,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",27591,0
"CABA",-34.6075,-58.4371,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",16907,0
"CABA",-34.6075,-58.4371,"CABA",-34.6075,-58.4371,"Programmatic organ",2431,0
"Córdoba",-31.4150461523809,-64.1791140755104,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",2208,0
"CABA",-34.6075,-58.4371,"CABA",-34.6075,-58.4371,"Anchored organ",1652,0
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",1571,21
"Punta Alta",-38.8781733532983,-62.0794804613607,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",1349,575
"El Palomar",-34.6108556165017,-58.5956810077115,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",1276,15
"Córdoba",-31.4150461523809,-64.1791140755104,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",1134,642
"General Rodríguez",-34.6082064832342,-58.9510798915332,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",1063,47
"CABA",-34.6075,-58.4371,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",933,642
"Punta Alta",-38.8781733532983,-62.0794804613607,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Anchored organ",920,0
"Mar del Plata",-38.0064494189987,-57.5438377776641,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",863,386
"CABA",-34.6075,-58.4371,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Programmatic organ",856,571
"Mar del Plata",-38.0064494189987,-57.5438377776641,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Programmatic organ",853,0
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",789,1340
"Mar del Plata",-38.0064494189987,-57.5438377776641,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",772,0
"CABA",-34.6075,-58.4371,"CASEROS",-34.6079360429362,-58.5639388527613,"Anchored organ",726,12
"Mendoza",-32.8897325533642,-68.8444442314254,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",689,981
"CABA",-34.6075,-58.4371,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",660,642
"CABA",-34.6075,-58.4371,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",648,571
"Punta Alta",-38.8781733532983,-62.0794804613607,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",642,24
"Ezeiza",-34.8543939582115,-58.524757807358,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",636,29
"CABA",-34.6075,-58.4371,"LA PLATA",-34.9154959630273,-57.9479884807815,"Programmatic organ",615,56
"Mar del Plata",-38.0064494189987,-57.5438377776641,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",591,386
"CABA",-34.6075,-58.4371,"CASEROS",-34.6079360429362,-58.5639388527613,"Programmatic organ",573,12
"CABA",-34.6075,-58.4371,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",570,274
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",532,571
"CABA",-34.6075,-58.4371,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",532,490
"Villa Maipú",-34.568894989108,-58.5244410540779,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",521,9
"CABA",-34.6075,-58.4371,"LOMAS DE ZAMORA",-34.7596127748886,-58.3994691356768,"Anchored organ",508,17
"Paraná",-31.7401601621031,-60.5274260494443,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",506,373
"Salta",-24.7831983811283,-65.4102509654276,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",506,1282
"Torres",-34.4309916604575,-59.1278642374609,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",492,66
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",490,16
"CABA",-34.6075,-58.4371,"CASTELAR",-34.6518205338135,-58.6460475077958,"Anchored organ",457,20
"CABA",-34.6075,-58.4371,"VILLA BALLESTER",-34.5480834920372,-58.5570844833764,"Anchored organ",443,13
"CABA",-34.6075,-58.4371,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",425,386
"CABA",-34.6075,-58.4371,"CIUDADELA",-34.6379153169712,-58.5393433409443,"Anchored organ",399,10
"CABA",-34.6075,-58.4371,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Programmatic organ",388,386
"CABA",-34.6075,-58.4371,"ROSARIO",-32.9472133838031,-60.6331755763544,"Programmatic organ",388,274
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",361,0
"CABA",-34.6075,-58.4371,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Anchored organ",360,575
"Ushuaia",-54.8074039816905,-68.3037571781958,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",357,2372
"CABA",-34.6075,-58.4371,"LOMAS DEL MIRADOR",-34.6652765210767,-58.5317739283029,"Programmatic organ",349,11
"Resistencia",-27.4510757112285,-58.9864835287395,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",346,797
"Mendoza",-32.8897325533642,-68.8444442314254,"GUAYMALLEN",-32.9000520819732,-68.7876776306296,"Anchored organ",340,5
"Río Gallegos",-51.6234632663739,-69.2158645331237,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",336,2079
"Zárate",-34.0989165196293,-59.0296629320907,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",324,78
"CABA",-34.6075,-58.4371,"CIUDAD JARDIN LOMAS DEL PALOMAR",-34.6020571077223,-58.5918129323397,"Anchored organ",321,14
"CABA",-34.6075,-58.4371,"MARTINEZ",-34.4890104372004,-58.499380135853,"Anchored organ",318,14
"CABA",-34.6075,-58.4371,"BELLA VISTA",-34.5682733387092,-58.6820583867252,"Anchored organ",315,23
"CABA",-34.6075,-58.4371,"CIUDAD JARDIN LOMAS DEL PALOMAR",-34.6020571077223,-58.5918129323397,"Programmatic organ",293,14
"Quilmes",-34.7200676236621,-58.254346982141,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",285,21
"Tandil",-37.3286954825526,-59.1368975569569,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",280,309
"CABA",-34.6075,-58.4371,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",268,12
"El Palomar",-34.6108556165017,-58.5956810077115,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",265,15
"CABA",-34.6075,-58.4371,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Programmatic organ",251,12
"CABA",-34.6075,-58.4371,"SAN ANDRES",-26.8881787226155,-65.1935520331529,"Anchored organ",248,1073
"CABA",-34.6075,-58.4371,"TANDIL",-37.3286954825526,-59.1368975569569,"Anchored organ",248,309
"Mendoza",-32.8897325533642,-68.8444442314254,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",246,981
"CABA",-34.6075,-58.4371,"LA TABLADA",-34.686462325254,-58.5256461385691,"Anchored organ",236,12
"Salta",-24.7831983811283,-65.4102509654276,"SALTA",-24.7831983811283,-65.4102509654276,"Anchored organ",234,0
"CABA",-34.6075,-58.4371,"LA PLATA",-34.9154959630273,-57.9479884807815,"Anchored organ",232,56
"CABA",-34.6075,-58.4371,"CASTELAR",-34.6518205338135,-58.6460475077958,"Programmatic organ",231,20
"Río Santiago",-34.8513758,-57.8868726,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",227,57
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Anchored organ",219,24
"Posadas",-27.3664259799962,-55.8939802751923,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",219,841
"Santa Fe",-31.6574749533861,-60.7104784410123,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",218,390
"Resistencia",-27.4510757112285,-58.9864835287395,"RESISTENCIA",-27.4510757112285,-58.9864835287395,"Anchored organ",216,0
"CABA",-34.6075,-58.4371,"GONZALEZ CATAN",-34.773025312187,-58.6440393936429,"Anchored organ",214,26
"CABA",-34.6075,-58.4371,"GENERAL SAN MARTIN",-34.5779100956477,-58.5386564736863,"Programmatic organ",213,10
"CABA",-34.6075,-58.4371,"QUILMES",-34.7200676236621,-58.254346982141,"Programmatic organ",206,21
"CABA",-34.6075,-58.4371,"MARTINEZ",-34.4890104372004,-58.499380135853,"Programmatic organ",203,14
"Comodoro Rivadavia",-45.8625644045819,-67.494000786158,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",201,1467
