"grupo","era","n_adj","share_anclado","share_directa","share_abierta"
"Cuyo","fernandez",2616,0.722,0.449,0.536
"Cuyo","macri",456,0.594,0.524,0.474
"Cuyo","milei",2340,0.865,0.334,0.646
"Metropolitan","fernandez",72111,0.552,0.356,0.641
"Metropolitan","macri",15355,0.505,0.422,0.574
"Metropolitan","milei",39166,0.683,0.276,0.721
"North-east","fernandez",3725,0.9,0.465,0.51
"North-east","macri",719,0.841,0.349,0.633
"North-east","milei",2153,0.935,0.412,0.569
"North-west","fernandez",1269,0.805,0.536,0.463
"North-west","macri",348,0.721,0.555,0.44
"North-west","milei",620,0.855,0.413,0.584
"Pampean","fernandez",9576,0.796,0.415,0.566
"Pampean","macri",1952,0.695,0.492,0.493
"Pampean","milei",6438,0.859,0.322,0.66
"Patagonia","fernandez",2525,0.855,0.435,0.565
"Patagonia","macri",543,0.766,0.435,0.565
"Patagonia","milei",1214,0.897,0.315,0.685
