"provincia","anclado","pf","anclado_loo","pf_loo"
"Buenos Aires",0.694,0.496,0.703,0.496
"CABA",0.52,0.196,0.512,0.196
"Catamarca",0.846,0.542,0.828,0.552
"Chaco",0.935,0.677,0.926,0.675
"Chubut",0.928,0.621,0.917,0.62
"Corrientes",0.89,0.599,0.886,0.596
"Córdoba",0.847,0.42,0.837,0.421
"Entre Ríos",0.758,0.58,0.769,0.583
"Formosa",0.926,0.771,0.918,0.769
"Jujuy",0.868,0.622,0.871,0.629
"La Pampa",0.865,0.617,0.864,0.624
"La Rioja",0.812,0.578,0.799,0.587
"Mendoza",0.816,0.468,0.803,0.466
"Misiones",0.921,0.697,0.927,0.696
"Neuquén",0.848,0.632,0.843,0.63
"Río Negro",0.718,0.66,0.65,0.658
"Salta",0.836,0.654,0.824,0.652
"San Juan",0.718,0.527,0.609,0.523
"San Luis",0.63,0.479,0.704,0.486
"Santa Cruz",0.917,0.664,0.907,0.662
"Santa Fe",0.733,0.396,0.723,0.397
"Santiago del Estero",0.849,0.7,0.849,0.696
"Tierra del Fuego",0.904,0.489,0.887,0.485
"Tucumán",0.692,0.575,0.622,0.579
