"provincia","n_adj","proveedores","share_anclado","share_seguridad","share_directa","share_persona_fisica","ratio_firmas","ratio_sociedades","grupo","nea"
"Chaco",1047,161,0.935053,0.567335,0.383954,0.677019,1.023151,0.555938,"North-east",TRUE
"Chubut",1291,243,0.927963,0.559256,0.37103,0.621399,2.088704,1.330356,"Patagonia",FALSE
"Formosa",408,111,0.926471,0.556373,0.715686,0.770642,2.366095,0.896517,"North-east",TRUE
"Misiones",1272,228,0.920597,0.579403,0.424528,0.697368,1.82381,0.928545,"North-east",TRUE
"Santa Cruz",517,140,0.916828,0.504836,0.427466,0.664286,2.738772,1.546803,"Patagonia",FALSE
"Tierra del Fuego",794,131,0.904282,0.647355,0.377834,0.48855,2.455805,2.113036,"Patagonia",FALSE
"Corrientes",3870,157,0.890181,0.717571,0.422481,0.598726,1.252534,0.845551,"North-east",TRUE
"Jujuy",379,98,0.868074,0.480211,0.562005,0.622449,1.246547,0.79176,"North-west",FALSE
"La Pampa",370,94,0.864865,0.297297,0.418919,0.617021,1.30582,0.841332,"Pampean",FALSE
"Santiago del Estero",252,81,0.849206,0.365079,0.690476,0.7,0.818592,0.40804,"North-west",FALSE
"Neuquén",508,155,0.848425,0.427165,0.297244,0.632258,1.272783,0.787421,"Patagonia",FALSE
"Córdoba",11132,690,0.847107,0.760061,0.377381,0.42029,0.812811,0.792702,"Pampean",FALSE
"Catamarca",247,59,0.846154,0.283401,0.59919,0.542373,1.282563,0.987415,"North-west",FALSE
"Salta",581,133,0.836489,0.753873,0.375215,0.654135,0.762516,0.443675,"North-west",FALSE
"Mendoza",3642,326,0.81631,0.607359,0.382757,0.467692,0.69356,0.619187,"Cuyo",FALSE
"La Rioja",223,64,0.811659,0.309417,0.600897,0.578125,1.355879,0.962308,"North-west",FALSE
"Entre Ríos",1045,177,0.757895,0.49378,0.373206,0.579545,1.069685,0.752357,"Pampean",FALSE
"Santa Fe",5419,459,0.733346,0.577782,0.418343,0.396061,0.601138,0.608107,"Pampean",FALSE
"Río Negro",1172,191,0.71843,0.418942,0.482935,0.659686,1.357467,0.777175,"Patagonia",FALSE
"San Juan",1100,110,0.718182,0.466364,0.482727,0.527273,0.898997,0.714954,"Cuyo",FALSE
"Buenos Aires",48748,2624,0.693875,0.660807,0.307684,0.495798,1.018528,0.86197,"Metropolitan",FALSE
"Tucumán",555,134,0.691892,0.441441,0.436036,0.574627,0.634788,0.454264,"North-west",FALSE
"San Luis",670,73,0.629851,0.420896,0.402985,0.479452,0.672706,0.589109,"Cuyo",FALSE
"CABA",77884,3963,0.520171,0.51013,0.359329,0.196257,1.021206,1.377694,"Metropolitan",FALSE
