"provincia","sipro_total","sipro_sociedades","adjudicados","stock_sociedades","legibilidad_total_x1000","legibilidad_soc_x1000","registro_muerto","share_adj_n","share_adj_monto","share_stock","exit_ratio_n","exit_ratio_monto","itpp_media_2016_2024","intra_2024","nea"
"Buenos Aires",21626,8212,2982,294076,73.5388,27.9248,0.8621,0.296,0.1365,0.243,1.2181,0.5617,7.8889,NA,FALSE
"CABA",21214,14375,4765,442975,47.8898,32.451,0.7754,0.484,0.7462,0.366,1.3224,2.0387,9.0444,NA,FALSE
"Catamarca",560,185,64,5251,106.6464,35.2314,0.8857,0.0016,9e-04,0.0043,0.3649,0.2022,7.8667,NA,FALSE
"Chaco",987,268,175,17962,54.9493,14.9204,0.8227,0.0064,0.0051,0.0148,0.4317,0.3409,8.3778,58.3,TRUE
"Chubut",1379,459,269,13280,103.8404,34.5633,0.8049,0.0078,0.0058,0.011,0.709,0.5308,5.0889,NA,FALSE
"Corrientes",869,307,163,14308,60.7353,21.4565,0.8124,0.0225,0.0027,0.0118,1.9003,0.2281,5.7556,42.4,TRUE
"Córdoba",5019,2378,783,96901,51.7951,24.5405,0.844,0.067,0.028,0.0801,0.837,0.3495,9.8222,NA,FALSE
"Entre Ríos",1377,382,196,18888,72.9034,20.2245,0.8577,0.0064,0.0086,0.0156,0.4088,0.5498,9.7333,NA,FALSE
"Formosa",497,131,112,5355,92.8105,24.4631,0.7746,0.0023,9e-04,0.0044,0.5171,0.1973,6.8111,12.8,TRUE
"Jujuy",643,182,104,8974,71.6514,20.2808,0.8383,0.0022,8e-04,0.0074,0.2965,0.1099,6.5333,NA,FALSE
"La Pampa",475,136,102,8217,57.807,16.5511,0.7853,0.0022,9e-04,0.0068,0.33,0.1307,7.2444,NA,FALSE
"La Rioja",534,147,73,5388,99.1091,27.2829,0.8633,0.0013,0.0011,0.0045,0.3025,0.2448,6.7778,NA,FALSE
"Mendoza",2678,1190,367,53654,49.9124,22.1791,0.863,0.0227,0.0075,0.0443,0.5125,0.17,8.4889,NA,FALSE
"Misiones",1499,477,254,14270,105.0456,33.4268,0.8306,0.0075,0.0076,0.0118,0.6384,0.6454,6.5556,41.6,TRUE
"Neuquén",1087,395,174,13901,78.1958,28.4152,0.8399,0.0032,0.0025,0.0115,0.2757,0.2204,9.1222,NA,FALSE
"Río Negro",1146,393,211,16061,71.353,24.4692,0.8159,0.0069,0.0028,0.0133,0.5224,0.21,8.2222,NA,FALSE
"Salta",1392,455,155,19910,69.9146,22.8528,0.8886,0.0036,0.0019,0.0165,0.2174,0.1177,7.9556,NA,FALSE
"San Juan",927,340,129,13967,66.3707,24.3431,0.8608,0.0064,0.0037,0.0115,0.557,0.3229,8.6,NA,FALSE
"San Luis",905,382,85,12387,73.0605,30.8388,0.9061,0.004,0.0027,0.0102,0.3947,0.266,4.5556,NA,FALSE
"Santa Cruz",754,245,154,5835,129.2202,41.988,0.7958,0.0032,8e-04,0.0048,0.659,0.1696,6.3667,NA,FALSE
"Santa Fe",4133,1927,532,87158,47.4196,22.1093,0.8713,0.0327,0.0279,0.072,0.4547,0.3874,9.7,NA,FALSE
"Santiago del Estero",541,157,96,11295,47.8973,13.9,0.8226,0.0016,5e-04,0.0093,0.1758,0.0577,5.2,NA,FALSE
"Tierra del Fuego",644,256,141,6089,105.7645,42.043,0.7811,0.0047,0.0024,0.005,0.9368,0.4843,8.4889,NA,FALSE
"Tucumán",1294,508,157,24096,53.7019,21.0823,0.8787,0.0036,0.0021,0.0199,0.1789,0.1034,7.3333,NA,FALSE
