"provincia","grupo","share_anclado","registrados","registrados_sociedades","stock_sociedades","legibilidad_total_x1000","legibilidad_soc_x1000"
"Chaco","North-east",0.9351,987,268,17962,54.9,14.9
"Chubut","Patagonia",0.928,1379,459,13280,103.8,34.6
"Formosa","North-east",0.9265,497,131,5355,92.8,24.5
"Misiones","North-east",0.9206,1499,477,14270,105,33.4
"Santa Cruz","Patagonia",0.9168,754,245,5835,129.2,42
"Tierra del Fuego","Patagonia",0.9043,644,256,6089,105.8,42
"Corrientes","North-east",0.8902,869,307,14308,60.7,21.5
"Jujuy","North-west",0.8681,643,182,8974,71.7,20.3
"La Pampa","Pampean",0.8649,475,136,8217,57.8,16.6
"Santiago del Estero","North-west",0.8492,541,157,11295,47.9,13.9
"Neuquén","Patagonia",0.8484,1087,395,13901,78.2,28.4
"Córdoba","Pampean",0.8471,5019,2378,96901,51.8,24.5
"Catamarca","North-west",0.8462,560,185,5251,106.6,35.2
"Salta","North-west",0.8365,1392,455,19910,69.9,22.9
"Mendoza","Cuyo",0.8163,2678,1190,53654,49.9,22.2
"La Rioja","North-west",0.8117,534,147,5388,99.1,27.3
"Entre Ríos","Pampean",0.7579,1377,382,18888,72.9,20.2
"Santa Fe","Pampean",0.7333,4133,1927,87158,47.4,22.1
"Río Negro","Patagonia",0.7184,1146,393,16061,71.4,24.5
"San Juan","Cuyo",0.7182,927,340,13967,66.4,24.3
"Buenos Aires","Metropolitan",0.6939,21626,8212,294076,73.5,27.9
"Tucumán","North-west",0.6919,1294,508,24096,53.7,21.1
"San Luis","Cuyo",0.6299,905,382,12387,73.1,30.8
"CABA","Metropolitan",0.5202,21214,14375,442975,47.9,32.5
