"provincia","era","dim1","dim2"
"Buenos Aires","fernandez",-0.0121782608813014,0.014234642665628
"Buenos Aires","macri",-0.150356258027474,0.130083792305288
"Buenos Aires","milei",-0.154427871129608,-0.0406622504732093
"CABA","fernandez",0.0473476910158093,0.28288326072964
"CABA","macri",-0.032720430225953,0.343667731959312
"CABA","milei",-0.0910578088757303,0.296879289887601
"Catamarca","fernandez",0.180885379142046,-0.199315713710031
"Catamarca","macri",-0.0265336309999438,-0.149886027967884
"Catamarca","milei",0.06556463513291,-0.239395525537819
"Chaco","fernandez",-0.0346944548779137,-0.305899543697634
"Chaco","macri",-0.17660732875775,-0.096385070783568
"Chaco","milei",-0.196000383530169,-0.366639540661173
"Chubut","fernandez",0.030419954406824,-0.256859776489185
"Chubut","macri",-0.126639397071762,-0.0253907132985707
"Chubut","milei",-0.195097481133383,-0.270006540807158
"Corrientes","fernandez",-0.111013333307106,-0.261854081254758
"Corrientes","macri",-0.19711738303568,0.00681518886747331
"Corrientes","milei",-0.259877045813863,-0.315027878021296
"Córdoba","fernandez",-0.113825866223278,-0.00676793937910123
"Córdoba","macri",-0.21007231216719,0.0993914354944527
"Córdoba","milei",-0.228802032399584,-0.0850352752362169
"Entre Ríos","fernandez",0.0943235114175324,-0.194949525523266
"Entre Ríos","macri",0.0142875177559284,-0.00324856526295184
"Entre Ríos","milei",-0.0700114686641388,-0.284782535116601
"Formosa","fernandez",0.0389307559456043,-0.437115519918328
"Formosa","macri",0.00241621894097812,-0.21469167475929
"Formosa","milei",-0.230516541190986,-0.560370992898473
"Jujuy","fernandez",0.203193110188888,-0.378751148880233
"Jujuy","macri",0.159852109460581,-0.139175878497401
"Jujuy","milei",-0.106068376586668,-0.528116122067571
"La Pampa","fernandez",0.266280276397365,-0.25454228166383
"La Pampa","macri",0.0221693084124146,-0.189512242706045
"La Pampa","milei",0.0366320249558511,-0.33917403622271
"La Rioja","fernandez",0.20374252728761,-0.258600734994453
"La Rioja","macri",-0.0340842427441662,-0.138386317446986
"La Rioja","milei",-0.118035050562385,-0.28374648306149
"Mendoza","fernandez",0.0321594857430503,-0.11699310565004
"Mendoza","macri",-0.0783951909762864,0.0328735836135761
"Mendoza","milei",-0.143981231499975,-0.167327404798158
"Misiones","fernandez",-0.168889359736954,-0.308548182591497
"Misiones","macri",-0.165407495268193,-0.136472421127762
"Misiones","milei",-0.272674703946733,-0.449886473921034
"Neuquén","fernandez",0.0719435886932508,-0.238934212576037
"Neuquén","macri",0.0384724375392241,-0.0856157305533028
"Neuquén","milei",0.0129568799826863,-0.289847071534893
"Río Negro","fernandez",0.0878263632204599,-0.230910408789599
"Río Negro","macri",0.0436521320578725,-0.0704085048029206
"Río Negro","milei",0.0121484973712511,-0.27514953985694
"Salta","fernandez",-0.0624990521098566,-0.26932024706025
"Salta","macri",-0.151187630891323,-0.0604423331671919
"Salta","milei",-0.130435852551128,-0.370834144697128
"San Juan","fernandez",0.10714007281599,-0.169424983730214
"San Juan","macri",0.0171328027748514,-0.139260854206703
"San Juan","milei",-0.112520379587391,-0.271803038989246
"San Luis","fernandez",0.183934085299296,-0.167306002631557
"San Luis","macri",-0.0861005622089432,-0.0686452981173146
"San Luis","milei",0.095752382575438,-0.214267045524292
"Santa Cruz","fernandez",0.0391696175254393,-0.305381971152682
"Santa Cruz","macri",0.0407055981943702,-0.148140434810681
"Santa Cruz","milei",-0.107250173808948,-0.349958138748447
"Santa Fe","fernandez",-0.00927159340205956,-0.0665760851115541
"Santa Fe","macri",-0.117582240404169,0.0985764163257554
"Santa Fe","milei",-0.164121357401404,-0.130690378840944
"Santiago del Estero","fernandez",0.0726793294045283,-0.353351905512622
"Santiago del Estero","macri",-0.0258130777416126,-0.064090295259877
"Santiago del Estero","milei",0.115355808186919,-0.416560369146426
"Tierra del Fuego","fernandez",-0.0538888810901792,-0.0666681642468958
"Tierra del Fuego","macri",-0.089926198232865,0.0322271283727036
"Tierra del Fuego","milei",-0.101383984100764,-0.111088638539427
"Tucumán","fernandez",0.130786048796396,-0.152166961606305
"Tucumán","macri",0.0581071914750504,0.0134621159419028
"Tucumán","milei",-0.126889377698292,-0.294631660404215
