"dim1","dim2","variable","categoria","typic_dim1","typic_dim2"
0.313532,-0.253338,"S_intensidad","1adj",24.301281,-19.635739
0.122486,-0.010083,"S_intensidad","2-5adj",9.152593,-0.753463
-0.337547,0.300109,"S_intensidad","6-20adj",-16.018766,14.242089
-0.827118,0.364355,"S_intensidad","20+adj",-30.940878,13.629819
0.177607,-0.253103,"S_tenure","1anio",16.643981,-23.718808
-0.081404,-0.0149,"S_tenure","2-4anios",-5.230599,-0.957428
-0.217207,0.447846,"S_tenure","5+anios",-13.4383,27.707567
-0.004386,0.750042,"S_cohorte","fund_2001_2010",-0.203213,34.754357
-0.038014,0.59989,"S_cohorte","fund_2011_2016",-1.317613,20.793124
0.00556,-0.0644,"S_cohorte","fund_2017plus",0.18169,-2.104423
0.022337,0.830539,"S_cohorte","fund_pre2000",1.158583,43.07779
-0.105952,-0.826247,"S_cohorte","pers_fisica",-8.978705,-70.018566
1.389479,-0.527744,"S_cohorte","sin_match",25.360934,-9.632446
0.473081,0.131503,"S_fundamento","consagrado",17.615883,4.896697
-0.014589,0.252833,"S_fundamento","sin_fundamento",-1.081967,18.750588
-0.091927,-0.187659,"S_fundamento","solo_aritmetico",-10.286868,-20.999649
-0.068989,-0.073756,"provincia","Buenos Aires",-4.068876,-4.350031
0.085566,0.472763,"provincia","CABA",6.798552,37.562869
0.281118,-0.509609,"provincia","Catamarca",2.165253,-3.925152
-0.148685,-0.65037,"provincia","Chaco",-1.901034,-8.315395
-0.012748,-0.513701,"provincia","Chubut",-0.201037,-8.101003
-0.234078,-0.123421,"provincia","Córdoba",-6.359306,-3.353035
-0.267584,-0.578701,"provincia","Corrientes",-3.377813,-7.305168
0.024483,-0.472181,"provincia","Entre Ríos",0.327521,-6.316653
-0.038832,-0.901854,"provincia","Formosa",-0.407499,-9.464069
0.289007,-0.796094,"provincia","Jujuy",2.874226,-7.917305
0.33139,-0.582176,"provincia","La Pampa",3.227164,-5.669381
0.232039,-0.578525,"provincia","La Rioja",1.861863,-4.642041
-0.005027,-0.304608,"provincia","Mendoza",-0.09204,-5.577473
-0.357084,-0.76746,"provincia","Misiones",-5.45064,-11.71476
0.106833,-0.482193,"provincia","Neuquén",1.339854,-6.047427
0.192383,-0.494622,"provincia","Río Negro",2.68299,-6.898039
-0.095692,-0.544279,"provincia","Salta",-1.110522,-6.316467
0.117472,-0.406626,"provincia","San Juan",1.238451,-4.286869
0.225941,-0.364683,"provincia","San Luis",1.937045,-3.126512
0.068743,-0.62543,"provincia","Santa Cruz",0.81878,-7.449294
-0.070648,-0.162678,"provincia","Santa Fe",-1.543925,-3.555128
0.102613,-0.692967,"provincia","Santiago del Estero",0.921246,-6.22136
-0.092634,-0.188345,"provincia","Tierra del Fuego",-1.066822,-2.16908
0.16047,-0.451283,"provincia","Tucumán",1.869364,-5.25713
-0.004689,0.176245,"estrato","core",-0.858941,32.284906
0.085736,-0.468739,"estrato","middle",3.319297,-18.147485
-0.061204,-0.655975,"estrato","outer",-2.275869,-24.392382
