"provincia","n_proveedores","pasivadas_nacionales","pasivadas_propias","activas_localmente_perdidas","cuales"
"CABA",3954,4,3,2,"A_rubro.PROD. MEDICO/FARMA; A_escala.sin_ars"
"Buenos Aires",2618,4,4,1,"A_rubro.ELECTRICIDAD Y TEL"
"Córdoba",690,4,4,1,"A_rubro.ELECTRICIDAD Y TEL"
"Santa Fe",457,4,4,2,"A_rubro.ELECTRICIDAD Y TEL; A_escala.sin_ars"
"Mendoza",325,4,6,0,"-"
"Chubut",243,4,8,0,"-"
"Misiones",228,4,8,0,"-"
"Río Negro",191,4,7,0,"-"
"Entre Ríos",176,4,6,0,"-"
"Chaco",161,4,6,1,"A_rubro.ELECTRICIDAD Y TEL"
"Corrientes",157,4,7,0,"-"
"Neuquén",155,4,6,0,"-"
