"organismo","primer_ejercicio","ultimo_ejercicio","n_adj","tipo","anclaje"
"305 - Jefatura de Gabinete de Ministros",2016,2026,1401,"administracion",FALSE
"301 - Secretaria General de la Presidencia de la Nación",2016,2026,1350,"administracion",FALSE
"311 - Ministerio de Salud y Desarrollo Social",2016,2021,1046,"salud_social",FALSE
"343 - Ministerio de Seguridad",2016,2026,968,"seguridad_defensa",FALSE
"332 - Ministerio de Justicia y Derechos Humanos",2016,2026,749,"administracion",FALSE
"337 - Secretaría de Gobierno de Cultura",2016,2020,609,"cultura_educacion",FALSE
"307 - Ministerio de Relaciones Exteriores y Culto",2016,2020,583,"administracion",FALSE
"205 - Agencia de Administración de Bienes del Estado",2016,2026,531,"administracion",FALSE
"109 - Sindicatura General de la Nación",2016,2026,473,"administracion",FALSE
"338 - Secretaria Legal y Técnica",2016,2026,304,"administracion",FALSE
"366 - Secretaría de Gobierno de Modernización",2016,2019,286,"administracion",FALSE
"362 - Ministerio de Producción y Trabajo",2016,2020,206,"administracion",FALSE
"328 - Secretaría de Gobierno de Energía",2016,2022,109,"administracion",FALSE
"329 - Ministerio de Comunicaciones",2016,2017,37,"administracion",FALSE
"604 - Dirección Nacional de Vialidad",2017,2026,15529,"infraestructura",TRUE
"623 - Servicio Nacional de Sanidad y Calidad Agroalimentaria",2017,2026,1282,"administracion",FALSE
"850 - Administración Nacional de la Seguridad Social",2017,2026,1096,"salud_social",FALSE
"112 - Autoridad Regulatoria Nuclear",2017,2026,907,"ciencia_universidad",FALSE
"661 - Comisión Nacional de Regulación de Transporte",2017,2026,871,"administracion",FALSE
"310 - Ministerio de Salud",2017,2026,853,"salud_social",FALSE
"370 - Ministerio de Defensa",2017,2026,801,"seguridad_defensa",FALSE
"201 - Dirección Nacional de Migraciones",2017,2026,795,"administracion",TRUE
"350 - Ministerio de Trabajo; Empleo y Seguridad Social",2017,2026,720,"salud_social",FALSE
"311 - Ministerio de Desarrollo Social",2017,2024,657,"salud_social",FALSE
"376 - Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa",2017,2020,616,"seguridad_defensa",FALSE
"908 - Hospital Nacional Dr. Alejandro Posadas",2017,2020,581,"salud_social",FALSE
"207 - Ente Nacional de Comunicaciones",2017,2026,508,"administracion",FALSE
"451 - Dirección General de Fabricaciones Militares",2017,2019,502,"seguridad_defensa",FALSE
