"region","era","universo","n","share_anclado"
"Metro","fernandez","todos",72111,0.552
"Metro","macri","todos",15355,0.505
"Metro","milei","todos",39166,0.683
"NEA","fernandez","todos",3725,0.9
"NEA","macri","todos",719,0.841
"NEA","milei","todos",2153,0.935
"Resto","fernandez","todos",15986,0.794
"Resto","macri","todos",3299,0.696
"Resto","milei","todos",10612,0.865
"Metro","fernandez","panel",61326,0.649
"Metro","macri","panel",12327,0.629
"Metro","milei","panel",36100,0.741
"NEA","fernandez","panel",3602,0.931
"NEA","macri","panel",673,0.899
"NEA","milei","panel",2127,0.947
"Resto","fernandez","panel",14997,0.847
"Resto","macri","panel",2927,0.784
"Resto","milei","panel",10334,0.888
