"region","era","universo","n","share_directa"
"Metro","fernandez","panel",61326,0.342
"Metro","fernandez","todos",72111,0.356
"Metro","macri","panel",12327,0.403
"Metro","macri","todos",15355,0.422
"Metro","milei","panel",36100,0.272
"Metro","milei","todos",39166,0.276
"NEA","fernandez","panel",3602,0.464
"NEA","fernandez","todos",3725,0.465
"NEA","macri","panel",673,0.336
"NEA","macri","todos",719,0.349
"NEA","milei","panel",2127,0.411
"NEA","milei","todos",2153,0.412
"Resto","fernandez","panel",14997,0.434
"Resto","fernandez","todos",15986,0.434
"Resto","macri","panel",2927,0.488
"Resto","macri","todos",3299,0.493
"Resto","milei","panel",10334,0.329
"Resto","milei","todos",10612,0.329
