"A_rubro","estrato","n_soc","n_pf","med_soc","med_pf","cociente"
"OTROS","core",1662,777,10496604,3002726,3.5
"SERV. PROFESIONAL ","core",897,543,33425657,6897339,4.85
"MANT. REPARACION Y","core",811,504,20812225,7200646,2.89
"ALQUILER","core",286,299,52816109,30293435,1.74
"EQUIPOS","core",408,83,13396480,7701259,1.74
"ALIMENTOS","core",261,145,29474858,6394670,4.61
"MANT. REPARACION Y","middle",153,243,25481391,7499578,3.4
"ELECTRICIDAD Y TEL","core",240,142,3804492,1653951,2.3
"MANT. REPARACION Y","outer",110,245,19313220,5496036,3.51
"PROD. MEDICO/FARMA","core",311,36,10603489,1964477,5.4
"OTROS","outer",144,202,6605926,3607104,1.83
"OTROS","middle",146,169,8754192,3634669,2.41
"LIBRERIA PAP. Y UT","core",157,125,23915521,3314245,7.22
"SERV. PROFESIONAL ","middle",95,116,12504681,7618453,1.64
"ALQUILER","outer",27,122,28126174,23837789,1.18
"ALQUILER","middle",35,111,30228196,28854359,1.05
"ALIMENTOS","outer",42,85,5197996,4387666,1.18
"SERV. PROFESIONAL ","outer",52,72,21609383,6014208,3.59
"ALIMENTOS","middle",36,64,6268460,4846528,1.29
"ELECTRICIDAD Y TEL","middle",22,31,5919461,3081597,1.92
"ELECTRICIDAD Y TEL","outer",17,29,3005260,3231353,0.93
"EQUIPOS","middle",19,25,8055260,3526623,2.28
