"ejercicio","variante","share_between"
2016,"baseline",0.0473703940609089
2016,"sin_seguridad",0.095762780764039
2016,"mix_constante",0.0392667104764168
2016,"mix_constante_organismo",0.244506971299222
2016,"mix_constante_2019",0.0362893698980401
2017,"baseline",0.026129623310607
2017,"sin_seguridad",0.0262295356078436
2017,"mix_constante",0.0266793594656367
2017,"mix_constante_organismo",0.0310742296632303
2017,"mix_constante_2019",0.0286162254979151
2018,"baseline",0.0670542890179923
2018,"sin_seguridad",0.0571584664616365
2018,"mix_constante",0.0704131574262507
2018,"mix_constante_organismo",0.0683765012045672
2018,"mix_constante_2019",0.0685081228643352
2019,"baseline",0.0557080078661767
2019,"sin_seguridad",0.0664071627100967
2019,"mix_constante",0.0597113458616377
2019,"mix_constante_organismo",0.0596731892950647
2019,"mix_constante_2019",0.0557080078661767
2020,"baseline",0.0936353890558853
2020,"sin_seguridad",0.0798065882542155
2020,"mix_constante",0.101898947311899
2020,"mix_constante_organismo",0.0850707745913758
2020,"mix_constante_2019",0.100857258689168
2021,"baseline",0.0710186429190821
2021,"sin_seguridad",0.069523289690972
2021,"mix_constante",0.0752270381529103
2021,"mix_constante_organismo",0.118198115686134
2021,"mix_constante_2019",0.073499293047982
2022,"baseline",0.102694398238717
2022,"sin_seguridad",0.0814348700169823
2022,"mix_constante",0.10452878629894
2022,"mix_constante_organismo",0.106613114910659
2022,"mix_constante_2019",0.104942374368083
2023,"baseline",0.0875216838238499
2023,"sin_seguridad",0.0927923491627321
2023,"mix_constante",0.0870317088724684
2023,"mix_constante_organismo",0.0610089913527393
2023,"mix_constante_2019",0.0871455489288732
2024,"baseline",0.114886748996695
2024,"sin_seguridad",0.107774854251496
2024,"mix_constante",0.127253679975386
2024,"mix_constante_organismo",0.08633512465748
2024,"mix_constante_2019",0.126589579266349
2025,"baseline",0.138129414381471
2025,"sin_seguridad",0.133205786843027
2025,"mix_constante",0.133810692115334
2025,"mix_constante_organismo",0.108929910637913
2025,"mix_constante_2019",0.137800597294028
2026,"baseline",0.140879493079339
2026,"sin_seguridad",0.126692030636131
2026,"mix_constante",0.133730695039306
2026,"mix_constante_organismo",0.108719648286308
2026,"mix_constante_2019",0.138475338412905
