"provincia","estrato","n_proveedores","rv_conjunto_variable","categorias_variable","rv_conjunto_fijo","categorias_fijo","replicas","rv_fijo_n150","ic_lo","ic_hi"
"Entre Ríos","middle",176,0.675,25,0.772,24,300,0.726,0.505,0.777
"Corrientes","outer",157,0.437,25,0.733,24,299,0.721,0.655,0.755
"Santa Fe","core",457,0.753,25,0.736,24,299,0.582,0.394,0.747
"Neuquén","middle",155,0.601,25,0.583,24,300,0.581,0.556,0.602
"Mendoza","core",325,0.557,25,0.612,24,294,0.549,0.371,0.693
"Buenos Aires","core",2618,0.709,25,0.826,24,300,0.528,0.348,0.722
"Chaco","outer",161,0.542,24,0.518,24,300,0.509,0.434,0.578
"Chubut","middle",243,0.605,25,0.576,24,249,0.467,0.249,0.662
"Río Negro","middle",191,0.535,25,0.453,24,298,0.45,0.329,0.548
"Córdoba","core",690,0.673,25,0.644,24,298,0.439,0.216,0.659
"Misiones","outer",228,0.416,24,0.418,24,259,0.394,0.224,0.549
"CABA","core",3954,0.495,25,0.581,24,297,0.39,0.204,0.598
