"provincia","estrato","n_proveedores","rv_conjunto_variable","categorias_variable","rv_conjunto_fijo","categorias_fijo","replicas","rv_fijo_n150","ic_lo","ic_hi"
"Entre Ríos","middle",176,0.675,25,0.772,24,291,0.636,0.418,0.753
"Corrientes","outer",157,0.437,25,0.733,24,251,0.613,0.422,0.733
"Santa Cruz","middle",140,0.483,25,0.608,24,200,0.547,0.402,0.662
"Neuquén","middle",155,0.601,25,0.583,24,300,0.536,0.43,0.624
"Santa Fe","core",457,0.753,25,0.736,24,290,0.507,0.263,0.682
"Mendoza","core",325,0.557,25,0.612,24,282,0.492,0.305,0.653
"Salta","outer",133,0.562,25,0.586,24,283,0.482,0.306,0.619
"San Juan","middle",110,0.455,25,0.48,24,299,0.479,0.377,0.55
"Chaco","outer",161,0.542,24,0.518,24,294,0.476,0.307,0.608
"Buenos Aires","core",2618,0.709,25,0.826,24,295,0.466,0.262,0.671
"Chubut","middle",243,0.605,25,0.576,24,179,0.457,0.238,0.657
"Tucumán","outer",134,0.517,25,0.497,24,294,0.454,0.333,0.544
"Tierra del Fuego","middle",131,0.477,25,0.488,24,281,0.451,0.316,0.551
"Río Negro","middle",191,0.535,25,0.453,24,266,0.43,0.27,0.565
"Formosa","outer",109,0.442,24,0.42,24,271,0.414,0.344,0.485
"Córdoba","core",690,0.673,25,0.644,24,280,0.388,0.199,0.625
"Misiones","outer",228,0.416,24,0.418,24,198,0.363,0.225,0.552
"CABA","core",3954,0.495,25,0.581,24,292,0.347,0.169,0.534
