"provincia","estrato","n_proveedores","rv_observado","rv_mediano_n150","dentro_banda_nula","posicion","percentil_en_el_nulo"
"CABA","core",3954,0.495,0.369,TRUE,"inside",0.045
"Misiones","outer",228,0.416,0.405,TRUE,"inside",0.108
"Corrientes","outer",157,0.437,0.44,TRUE,"inside",0.195
"Córdoba","core",690,0.673,0.45,TRUE,"inside",0.225
"Chubut","middle",243,0.605,0.473,TRUE,"inside",0.32
"Buenos Aires","core",2618,0.709,0.506,TRUE,"inside",0.43
"Río Negro","middle",191,0.535,0.511,TRUE,"inside",0.45
"Mendoza","core",325,0.557,0.527,TRUE,"inside",0.505
"Chaco","outer",161,0.542,0.532,TRUE,"inside",0.52
"Santa Fe","core",457,0.753,0.558,TRUE,"inside",0.598
"Neuquén","middle",155,0.601,0.598,TRUE,"inside",0.728
"Entre Ríos","middle",176,0.675,0.63,TRUE,"inside",0.802
