"provincia","estrato","n_proveedores","rv_observado","rv_mediano_n150","dentro_banda_nula","posicion","percentil_en_el_nulo"
"CABA","core",3954,0.495,0.33,TRUE,"inside",0.117
"Córdoba","core",690,0.673,0.391,TRUE,"inside",0.262
"Misiones","outer",228,0.416,0.399,TRUE,"inside",0.282
"Tierra del Fuego","middle",131,0.477,0.429,TRUE,"inside",0.372
"Buenos Aires","core",2618,0.709,0.436,TRUE,"inside",0.405
"Formosa","outer",109,0.442,0.436,TRUE,"inside",0.405
"Chubut","middle",243,0.605,0.447,TRUE,"inside",0.435
"San Juan","middle",110,0.455,0.456,TRUE,"inside",0.46
"Santa Cruz","middle",140,0.483,0.456,TRUE,"inside",0.46
"Río Negro","middle",191,0.535,0.465,TRUE,"inside",0.505
"Salta","outer",133,0.562,0.472,TRUE,"inside",0.527
"Tucumán","outer",134,0.517,0.472,TRUE,"inside",0.527
"Santa Fe","core",457,0.753,0.473,TRUE,"inside",0.535
"Mendoza","core",325,0.557,0.48,TRUE,"inside",0.562
"Chaco","outer",161,0.542,0.497,TRUE,"inside",0.627
"Corrientes","outer",157,0.437,0.506,TRUE,"inside",0.667
"Neuquén","middle",155,0.601,0.537,TRUE,"inside",0.743
"Entre Ríos","middle",176,0.675,0.593,TRUE,"inside",0.882
