"provincia","estrato","rv"
"CABA","core",0.249
"CABA","core",0.1892
"CABA","core",0.3634
"CABA","core",0.4256
"CABA","core",0.391
"CABA","core",0.3502
"CABA","core",0.3802
"CABA","core",0.3551
"CABA","core",0.3244
"CABA","core",0.4717
"CABA","core",0.6197
"CABA","core",0.3847
"CABA","core",0.2086
"CABA","core",0.3474
"CABA","core",0.3859
"CABA","core",0.3568
"CABA","core",0.3411
"CABA","core",0.3561
"CABA","core",0.2808
"CABA","core",0.3725
"CABA","core",0.4149
"CABA","core",0.1884
"CABA","core",0.4191
"CABA","core",0.3692
"CABA","core",0.3181
"CABA","core",0.422
"CABA","core",0.319
"CABA","core",0.3539
"CABA","core",0.4013
"CABA","core",0.2801
"CABA","core",0.299
"CABA","core",0.3147
"CABA","core",0.4417
"CABA","core",0.3516
"CABA","core",0.369
"CABA","core",0.3234
"CABA","core",0.4173
"CABA","core",0.2301
"CABA","core",0.2546
"CABA","core",0.3701
"CABA","core",0.5136
"CABA","core",0.2392
"CABA","core",0.4553
"CABA","core",0.4492
"CABA","core",0.3938
"CABA","core",0.5611
"CABA","core",0.4714
"CABA","core",0.1871
"CABA","core",0.5065
"CABA","core",0.3484
"CABA","core",0.2661
"CABA","core",0.4179
"CABA","core",0.3676
"CABA","core",0.433
"CABA","core",0.4885
"CABA","core",0.2878
"CABA","core",0.4847
"CABA","core",0.5259
"CABA","core",0.4297
"CABA","core",0.2969
"CABA","core",0.315
"CABA","core",0.4224
"CABA","core",0.3093
"CABA","core",0.4353
"CABA","core",0.4431
"CABA","core",0.2604
"CABA","core",0.3395
"CABA","core",0.2529
"CABA","core",0.3237
"CABA","core",0.5367
"CABA","core",0.6408
"CABA","core",0.4371
"CABA","core",0.4156
"CABA","core",0.3937
"CABA","core",0.3771
"CABA","core",0.4637
"CABA","core",0.4862
"CABA","core",0.3124
"CABA","core",0.4769
"CABA","core",0.3347
"CABA","core",0.4429
"CABA","core",0.4982
"CABA","core",0.279
"CABA","core",0.3574
"CABA","core",0.3659
"CABA","core",0.3577
"CABA","core",0.4951
"CABA","core",0.4392
"CABA","core",0.2731
"CABA","core",0.1976
"CABA","core",0.1894
"CABA","core",0.37
"CABA","core",0.322
"CABA","core",0.4161
"CABA","core",0.3824
"CABA","core",0.3656
"CABA","core",0.4933
"CABA","core",0.3993
"CABA","core",0.3275
"CABA","core",0.2026
"CABA","core",0.3581
"CABA","core",0.4031
"CABA","core",0.2098
"CABA","core",0.2554
"CABA","core",0.4015
"CABA","core",0.4573
"CABA","core",0.2667
"CABA","core",0.4443
"CABA","core",0.48
"CABA","core",0.3933
"CABA","core",0.4169
"CABA","core",0.3934
"CABA","core",0.4206
"CABA","core",0.4639
"CABA","core",0.2947
"CABA","core",0.2842
"CABA","core",0.5261
"CABA","core",0.4337
"CABA","core",0.4522
"CABA","core",0.4312
"CABA","core",0.4691
"CABA","core",0.367
"CABA","core",0.4138
"CABA","core",0.352
"CABA","core",0.3978
"CABA","core",0.2031
"CABA","core",0.5903
"CABA","core",0.2046
"CABA","core",0.2194
"CABA","core",0.4144
"CABA","core",0.566
"CABA","core",0.2568
"CABA","core",0.2653
"CABA","core",0.4229
"CABA","core",0.3616
"CABA","core",0.3747
"CABA","core",0.4021
"CABA","core",0.3613
"CABA","core",0.3777
"CABA","core",0.3709
"CABA","core",0.441
"CABA","core",0.3797
"CABA","core",0.3898
"CABA","core",0.3573
"CABA","core",0.5387
"CABA","core",0.5836
"CABA","core",0.4886
"CABA","core",0.3894
"CABA","core",0.3178
"CABA","core",0.4379
"CABA","core",0.368
"CABA","core",0.2347
"CABA","core",0.2649
"CABA","core",0.3993
"CABA","core",0.4267
"CABA","core",0.2226
"CABA","core",0.2427
"CABA","core",0.3768
"CABA","core",0.3234
"CABA","core",0.3755
"CABA","core",0.4308
"CABA","core",0.1019
"CABA","core",0.3656
"CABA","core",0.5379
"CABA","core",0.3328
"CABA","core",0.3987
"CABA","core",0.2341
"CABA","core",0.2928
"CABA","core",0.4255
"CABA","core",0.2935
"CABA","core",0.3571
"CABA","core",0.4023
"CABA","core",0.4179
"CABA","core",0.4285
"CABA","core",0.3591
"CABA","core",0.5272
"CABA","core",0.3694
"CABA","core",0.2682
"CABA","core",0.3539
"CABA","core",0.2971
"CABA","core",0.2088
"CABA","core",0.3319
"CABA","core",0.3149
"CABA","core",0.4462
"CABA","core",0.5713
"CABA","core",0.3099
"CABA","core",0.3237
"CABA","core",0.2965
"CABA","core",0.3674
"CABA","core",0.3669
"CABA","core",0.2585
"CABA","core",0.3662
"CABA","core",0.4402
"CABA","core",0.35
"CABA","core",0.481
"CABA","core",0.3122
"CABA","core",0.3827
"CABA","core",0.6202
"CABA","core",0.4444
"CABA","core",0.3551
"CABA","core",0.2292
"CABA","core",0.2778
"CABA","core",0.3462
"CABA","core",0.4626
"CABA","core",0.4203
"CABA","core",0.3255
"CABA","core",0.3909
"CABA","core",0.4244
"CABA","core",0.4361
"CABA","core",0.4135
"CABA","core",0.4653
"CABA","core",0.2783
"CABA","core",0.3791
"CABA","core",0.4097
"CABA","core",0.331
"CABA","core",0.3509
"CABA","core",0.4708
"CABA","core",0.4122
"CABA","core",0.4538
"CABA","core",0.3817
"CABA","core",0.3789
"CABA","core",0.3462
"CABA","core",0.3521
"CABA","core",0.2924
"CABA","core",0.2265
"CABA","core",0.2402
"CABA","core",0.3532
"CABA","core",0.2465
"CABA","core",0.4057
"CABA","core",0.3889
"CABA","core",0.3579
"CABA","core",0.3899
"CABA","core",0.4261
"CABA","core",0.4589
"CABA","core",0.349
"CABA","core",0.3683
"CABA","core",0.3328
"CABA","core",0.4842
"CABA","core",0.4042
"CABA","core",0.3662
"CABA","core",0.5567
"CABA","core",0.3507
"CABA","core",0.5548
"CABA","core",0.5056
"CABA","core",0.2175
"CABA","core",0.231
"CABA","core",0.5263
"CABA","core",0.7089
"CABA","core",0.4436
"CABA","core",0.3644
"CABA","core",0.3181
"CABA","core",0.3863
"CABA","core",0.318
"CABA","core",0.293
"CABA","core",0.4222
"CABA","core",0.2291
"CABA","core",0.3069
"CABA","core",0.4894
"CABA","core",0.373
"CABA","core",0.2526
"CABA","core",0.2904
"CABA","core",0.3451
"CABA","core",0.3725
"CABA","core",0.3838
"CABA","core",0.3907
"CABA","core",0.455
"CABA","core",0.3651
"CABA","core",0.3756
"CABA","core",0.5027
"CABA","core",0.3541
"CABA","core",0.4398
"CABA","core",0.3776
"CABA","core",0.3368
"CABA","core",0.2821
"CABA","core",0.3799
"CABA","core",0.3449
"CABA","core",0.4653
"CABA","core",0.2778
"CABA","core",0.2965
"CABA","core",0.482
"CABA","core",0.3905
"CABA","core",0.1867
"CABA","core",0.568
"CABA","core",0.3622
"CABA","core",0.3286
"CABA","core",0.1963
"CABA","core",0.3028
"CABA","core",0.2433
"CABA","core",0.3051
"CABA","core",0.3462
"CABA","core",0.4928
"CABA","core",0.2646
"CABA","core",0.3116
"CABA","core",0.552
"CABA","core",0.3567
"CABA","core",0.3495
"CABA","core",0.5139
"CABA","core",0.4064
"CABA","core",0.298
"CABA","core",0.3485
"Buenos Aires","core",0.5829
"Buenos Aires","core",0.5265
"Buenos Aires","core",0.4409
"Buenos Aires","core",0.5978
"Buenos Aires","core",0.412
"Buenos Aires","core",0.4687
"Buenos Aires","core",0.4057
"Buenos Aires","core",0.5108
"Buenos Aires","core",0.4491
"Buenos Aires","core",0.6586
"Buenos Aires","core",0.6099
"Buenos Aires","core",0.6295
"Buenos Aires","core",0.4021
"Buenos Aires","core",0.595
"Buenos Aires","core",0.4403
"Buenos Aires","core",0.6105
"Buenos Aires","core",0.4128
"Buenos Aires","core",0.4863
"Buenos Aires","core",0.3755
"Buenos Aires","core",0.5034
"Buenos Aires","core",0.5272
"Buenos Aires","core",0.4222
"Buenos Aires","core",0.4913
"Buenos Aires","core",0.3008
"Buenos Aires","core",0.3848
"Buenos Aires","core",0.4132
"Buenos Aires","core",0.4465
"Buenos Aires","core",0.4864
"Buenos Aires","core",0.6439
"Buenos Aires","core",0.6147
"Buenos Aires","core",0.4461
"Buenos Aires","core",0.4762
"Buenos Aires","core",0.5269
"Buenos Aires","core",0.5634
"Buenos Aires","core",0.6646
"Buenos Aires","core",0.4392
"Buenos Aires","core",0.5469
"Buenos Aires","core",0.493
"Buenos Aires","core",0.492
"Buenos Aires","core",0.5416
"Buenos Aires","core",0.3438
"Buenos Aires","core",0.5258
"Buenos Aires","core",0.6334
"Buenos Aires","core",0.4293
"Buenos Aires","core",0.6193
"Buenos Aires","core",0.4864
"Buenos Aires","core",0.4282
"Buenos Aires","core",0.4398
"Buenos Aires","core",0.61
"Buenos Aires","core",0.6151
"Buenos Aires","core",0.3972
"Buenos Aires","core",0.5309
"Buenos Aires","core",0.438
"Buenos Aires","core",0.6098
"Buenos Aires","core",0.5862
"Buenos Aires","core",0.3903
