"provincia","estrato","rv"
"CABA","core",0.3254
"CABA","core",0.2824
"CABA","core",0.1276
"CABA","core",0.468
"CABA","core",0.3202
"CABA","core",0.2006
"CABA","core",0.1933
"CABA","core",0.4556
"CABA","core",0.2308
"CABA","core",0.3253
"CABA","core",0.2885
"CABA","core",0.4552
"CABA","core",0.3613
"CABA","core",0.2367
"CABA","core",0.4644
"CABA","core",0.5331
"CABA","core",0.4995
"CABA","core",0.4261
"CABA","core",0.3539
"CABA","core",0.4595
"CABA","core",0.2057
"CABA","core",0.2726
"CABA","core",0.3928
"CABA","core",0.3172
"CABA","core",0.2477
"CABA","core",0.2917
"CABA","core",0.258
"CABA","core",0.2632
"CABA","core",0.456
"CABA","core",0.2531
"CABA","core",0.3227
"CABA","core",0.4445
"CABA","core",0.2514
"CABA","core",0.377
"CABA","core",0.2447
"CABA","core",0.2063
"CABA","core",0.3173
"CABA","core",0.4752
"CABA","core",0.359
"CABA","core",0.2921
"CABA","core",0.2922
"CABA","core",0.3731
"CABA","core",0.3027
"CABA","core",0.2494
"CABA","core",0.3576
"CABA","core",0.3216
"CABA","core",0.1793
"CABA","core",0.3594
"CABA","core",0.3434
"CABA","core",0.3292
"CABA","core",0.322
"CABA","core",0.3827
"CABA","core",0.4664
"CABA","core",0.2461
"CABA","core",0.311
"CABA","core",0.304
"CABA","core",0.2338
"CABA","core",0.2265
"CABA","core",0.2828
"CABA","core",0.5131
"CABA","core",0.3506
"CABA","core",0.4676
"CABA","core",0.1638
"CABA","core",0.21
"CABA","core",0.3533
"CABA","core",0.4248
"CABA","core",0.3134
"CABA","core",0.3725
"CABA","core",0.4177
"CABA","core",0.2985
"CABA","core",0.363
"CABA","core",0.3375
"CABA","core",0.3309
"CABA","core",0.3894
"CABA","core",0.349
"CABA","core",0.1913
"CABA","core",0.2582
"CABA","core",0.3754
"CABA","core",0.2773
"CABA","core",0.484
"CABA","core",0.3139
"CABA","core",0.3592
"CABA","core",0.4027
"CABA","core",0.2768
"CABA","core",0.2798
"CABA","core",0.3893
"CABA","core",0.3599
"CABA","core",0.3625
"CABA","core",0.3773
"CABA","core",0.1993
"CABA","core",0.3665
"CABA","core",0.2941
"CABA","core",0.4162
"CABA","core",0.4383
"CABA","core",0.2286
"CABA","core",0.2792
"CABA","core",0.3054
"CABA","core",0.4191
"CABA","core",0.3075
"CABA","core",0.3128
"CABA","core",0.3299
"CABA","core",0.2389
"CABA","core",0.2519
"CABA","core",0.2898
"CABA","core",0.5043
"CABA","core",0.3427
"CABA","core",0.2581
"CABA","core",0.2636
"CABA","core",0.188
"CABA","core",0.3747
"CABA","core",0.3206
"CABA","core",0.4193
"CABA","core",0.3636
"CABA","core",0.1912
"CABA","core",0.3274
"CABA","core",0.4067
"CABA","core",0.2083
"CABA","core",0.2105
"CABA","core",0.4695
"CABA","core",0.3187
"CABA","core",0.4827
"CABA","core",0.4337
"CABA","core",0.4934
"CABA","core",0.4416
"CABA","core",0.1722
"CABA","core",0.4213
"CABA","core",0.3904
"CABA","core",0.315
"CABA","core",0.3541
"CABA","core",0.2892
"CABA","core",0.2604
"CABA","core",0.3597
"CABA","core",0.4404
"CABA","core",0.2382
"CABA","core",0.1959
"CABA","core",0.2071
"CABA","core",0.2073
"CABA","core",0.2762
"CABA","core",0.3152
"CABA","core",0.4475
"CABA","core",0.2159
"CABA","core",0.3773
"CABA","core",0.3509
"CABA","core",0.3218
"CABA","core",0.3003
"CABA","core",0.4352
"CABA","core",0.3314
"CABA","core",0.3962
"CABA","core",0.2427
"CABA","core",0.4069
"CABA","core",0.1969
"CABA","core",0.2838
"CABA","core",0.2826
"CABA","core",0.3499
"CABA","core",0.1855
"CABA","core",0.243
"CABA","core",0.2565
"CABA","core",0.4505
"CABA","core",0.4396
"CABA","core",0.2402
"CABA","core",0.2256
"CABA","core",0.4123
"CABA","core",0.2853
"CABA","core",0.3678
"CABA","core",0.318
"CABA","core",0.3037
"CABA","core",0.343
"CABA","core",0.3676
"CABA","core",0.3791
"CABA","core",0.352
"CABA","core",0.3183
"CABA","core",0.4711
"CABA","core",0.3723
"CABA","core",0.2759
"CABA","core",0.2323
"CABA","core",0.3078
"CABA","core",0.3976
"CABA","core",0.4337
"CABA","core",0.3011
"CABA","core",0.3532
"CABA","core",0.4251
"CABA","core",0.3161
"CABA","core",0.3908
"CABA","core",0.3359
"CABA","core",0.4293
"CABA","core",0.3696
"CABA","core",0.4106
"CABA","core",0.3436
"CABA","core",0.2636
"CABA","core",0.1854
"CABA","core",0.4326
"CABA","core",0.326
"CABA","core",0.1919
"CABA","core",0.3627
"CABA","core",0.1913
"CABA","core",0.5759
"CABA","core",0.4405
"CABA","core",0.3043
"CABA","core",0.4021
"CABA","core",0.2261
"CABA","core",0.2688
"CABA","core",0.5077
"CABA","core",0.367
"CABA","core",0.3351
"CABA","core",0.3685
"CABA","core",0.3909
"CABA","core",0.3195
"CABA","core",0.3226
"CABA","core",0.3611
"CABA","core",0.3264
"CABA","core",0.4405
"CABA","core",0.3606
"CABA","core",0.1606
"CABA","core",0.2801
"CABA","core",0.3861
"CABA","core",0.3497
"CABA","core",0.3213
"CABA","core",0.3835
"CABA","core",0.4195
"CABA","core",0.3305
"CABA","core",0.3339
"CABA","core",0.3937
"CABA","core",0.2958
"CABA","core",0.3515
"CABA","core",0.358
"CABA","core",0.2557
"CABA","core",0.3814
"CABA","core",0.39
"CABA","core",0.2793
"CABA","core",0.2771
"CABA","core",0.2987
"CABA","core",0.3591
"CABA","core",0.1881
"CABA","core",0.3124
"CABA","core",0.1787
