"provincia","estrato","n_proveedores","rv_observado","replicas","rv_mediano_n150","ic_lo","ic_hi","comunes_medianas"
"Entre Ríos","middle",176,0.675,300,0.63,0.414,0.756,25
"Neuquén","middle",155,0.601,300,0.598,0.574,0.62,25
"Santa Fe","core",457,0.753,300,0.558,0.334,0.73,25
"Chaco","outer",161,0.542,300,0.532,0.46,0.602,24
"Mendoza","core",325,0.557,300,0.527,0.313,0.684,25
"Río Negro","middle",191,0.535,300,0.511,0.412,0.577,25
"Buenos Aires","core",2618,0.709,300,0.506,0.34,0.692,25
"Chubut","middle",243,0.605,300,0.473,0.232,0.679,25
"Córdoba","core",690,0.673,300,0.45,0.225,0.66,25
"Corrientes","outer",157,0.437,300,0.44,0.37,0.709,25
"Misiones","outer",228,0.416,300,0.405,0.225,0.655,24
"CABA","core",3954,0.495,300,0.369,0.2,0.567,25
