"provincia","estrato","n_proveedores","rv_observado","replicas","rv_mediano_n150","ic_lo","ic_hi","comunes_medianas"
"Entre Ríos","middle",176,0.675,300,0.593,0.368,0.74,25
"Neuquén","middle",155,0.601,300,0.537,0.409,0.632,25
"Corrientes","outer",157,0.437,300,0.506,0.325,0.712,25
"Chaco","outer",161,0.542,300,0.497,0.318,0.628,24
"Mendoza","core",325,0.557,300,0.48,0.273,0.667,25
"Santa Fe","core",457,0.753,300,0.473,0.236,0.651,25
"Salta","outer",133,0.562,300,0.472,0.301,0.591,25
"Tucumán","outer",134,0.517,300,0.472,0.354,0.561,25
"Río Negro","middle",191,0.535,299,0.465,0.296,0.598,25
"San Juan","middle",110,0.455,300,0.456,0.354,0.517,25
"Santa Cruz","middle",140,0.483,300,0.456,0.207,0.663,24
"Chubut","middle",243,0.605,300,0.447,0.214,0.669,25
"Buenos Aires","core",2618,0.709,300,0.436,0.249,0.636,25
"Formosa","outer",109,0.442,300,0.436,0.361,0.501,24
"Tierra del Fuego","middle",131,0.477,300,0.429,0.298,0.553,25
"Misiones","outer",228,0.416,300,0.399,0.221,0.657,24
"Córdoba","core",690,0.673,300,0.391,0.202,0.624,25
"CABA","core",3954,0.495,300,0.33,0.179,0.502,25
