"provincia","era","n_adj","n_rubros","shannon_h","shannon_norm","nea"
"Buenos Aires","fernandez",27308,49,3.12183942780874,0.802154053547722,FALSE
"Buenos Aires","macri",8946,44,3.12096971515089,0.801930581601118,FALSE
"Buenos Aires","milei",20017,47,3.12442962437412,0.802819602408401,FALSE
"CABA","fernandez",44803,47,3.20282077661485,0.822962144004885,FALSE
"CABA","macri",18706,45,3.19560099686909,0.821107027583074,FALSE
"CABA","milei",28509,48,3.16412091602458,0.813018246901244,FALSE
"Catamarca","fernandez",148,20,2.49706220132742,0.641618063028161,FALSE
"Catamarca","macri",98,21,2.61350957863067,0.671539120112884,FALSE
"Catamarca","milei",55,15,2.42343641692497,0.622699978748116,FALSE
"Chaco","fernandez",600,29,2.4979634394758,0.641849635423428,TRUE
"Chaco","macri",284,27,2.55868406508856,0.657451749848453,TRUE
"Chaco","milei",334,25,2.40415326928147,0.617745189943281,TRUE
"Chubut","fernandez",784,31,2.54982034023712,0.655174223094265,FALSE
"Chubut","macri",231,28,2.61166692421499,0.671065651587996,FALSE
"Chubut","milei",464,29,2.26874024976183,0.582950926810069,FALSE
"Corrientes","fernandez",2189,35,2.85131327116211,0.73264258181354,TRUE
"Corrientes","macri",543,31,2.62848451201405,0.675386916834291,TRUE
"Corrientes","milei",1539,31,2.66696785384435,0.685275179622012,TRUE
"Córdoba","fernandez",6056,43,3.07901739918819,0.791150968785217,FALSE
"Córdoba","macri",1736,38,3.01499822031886,0.774701293834804,FALSE
"Córdoba","milei",4949,41,3.01908199547322,0.775750616476024,FALSE
"Entre Ríos","fernandez",615,33,2.91683121414958,0.749477362961909,FALSE
"Entre Ríos","macri",173,24,2.70652469644861,0.695439277543867,FALSE
"Entre Ríos","milei",425,32,2.94059698692799,0.755583958579889,FALSE
"Formosa","fernandez",265,27,2.80231478568894,0.720052461581894,TRUE
"Formosa","macri",37,15,2.53590137576555,0.651597756709543,TRUE
"Formosa","milei",133,21,2.57239257584002,0.66097414032422,TRUE
"Jujuy","fernandez",249,27,2.43668263669973,0.626103583940572,FALSE
"Jujuy","macri",68,18,2.24827787546047,0.577693136692859,FALSE
"Jujuy","milei",101,18,2.37869679352044,0.611204169595199,FALSE
"La Pampa","fernandez",233,24,2.43072381691602,0.624572470135909,FALSE
"La Pampa","macri",123,21,2.55877749776275,0.657475757296648,FALSE
"La Pampa","milei",70,14,2.07234936511127,0.532488451770844,FALSE
"La Rioja","fernandez",130,22,2.48771579979523,0.639216512900904,FALSE
"La Rioja","macri",61,19,2.65746549499125,0.682833556390406,FALSE
"La Rioja","milei",65,17,2.14446703125717,0.55101902631482,FALSE
"Mendoza","fernandez",1630,35,2.92071113968428,0.750474306612308,FALSE
"Mendoza","macri",494,35,3.04321735739,0.781952177716788,FALSE
"Mendoza","milei",2195,39,3.03230467884226,0.779148174008537,FALSE
"Misiones","fernandez",671,34,2.80173535011089,0.719903576090361,TRUE
"Misiones","macri",163,26,2.61843616177367,0.67280500156825,TRUE
"Misiones","milei",597,30,2.77426508587316,0.712845114462245,TRUE
"Neuquén","fernandez",284,27,2.75661024035422,0.708308716538757,FALSE
"Neuquén","macri",102,20,2.27615446793116,0.584856004023663,FALSE
"Neuquén","milei",216,23,2.43267489462829,0.625073797936993,FALSE
"Río Negro","fernandez",749,32,2.75072711470586,0.706797052279435,FALSE
"Río Negro","macri",246,27,2.77562369769154,0.71319420864294,FALSE
"Río Negro","milei",323,29,2.4185937408346,0.621455657140378,FALSE
"Salta","fernandez",311,27,2.62375340111771,0.674171261810693,FALSE
"Salta","macri",146,25,2.59440176736946,0.666629383846159,FALSE
"Salta","milei",223,21,2.32600450152497,0.59766492883913,FALSE
"San Juan","fernandez",636,28,2.68627922104513,0.6902372194187,FALSE
"San Juan","macri",127,23,2.63201573018539,0.676294260416691,FALSE
"San Juan","milei",459,27,2.47728367964835,0.636535988275462,FALSE
"San Luis","fernandez",350,25,2.50008571477404,0.642394952302336,FALSE
"San Luis","macri",210,24,2.45628774445646,0.631141100129654,FALSE
"San Luis","milei",208,25,2.63835266119982,0.677922529588704,FALSE
"Santa Cruz","fernandez",311,26,2.52313208782756,0.648316698757255,FALSE
"Santa Cruz","macri",109,20,2.43845916899401,0.62656006244117,FALSE
"Santa Cruz","milei",184,23,2.71308188828264,0.697124142550922,FALSE
"Santa Fe","fernandez",2672,39,3.06186510082074,0.786743699935785,FALSE
"Santa Fe","macri",1105,37,2.90222764834003,0.745724988830801,FALSE
"Santa Fe","milei",2448,39,2.83021380868899,0.727221092418626,FALSE
"Santiago del Estero","fernandez",145,23,2.58983421937935,0.665455756175753,FALSE
"Santiago del Estero","macri",83,20,2.65960849723051,0.683384199039631,FALSE
"Santiago del Estero","milei",84,21,2.57267993612656,0.661047977311678,FALSE
"Tierra del Fuego","fernandez",397,30,2.77312247049794,0.7125515203886,FALSE
"Tierra del Fuego","macri",217,27,2.48200733156912,0.637749726721471,FALSE
"Tierra del Fuego","milei",282,27,2.64494276985559,0.679615852545824,FALSE
"Tucumán","fernandez",286,26,2.30952965579487,0.593431730883382,FALSE
"Tucumán","macri",145,24,2.38617894885207,0.613126703206336,FALSE
"Tucumán","milei",246,24,2.16506085096481,0.55631059122023,FALSE
