"provincia","proveedores","theil","theil_norm","grupo","share_anclado","share_persona_fisica","share_prov_lider"
"Catamarca",59,3.021,0.741,"North-west",0.846154,0.542373,0.154
"Misiones",228,3.908,0.72,"North-east",0.920597,0.697368,0.15
"Entre Ríos",175,2.912,0.564,"Pampean",0.757895,0.579545,0.091
"San Juan",109,2.426,0.517,"Cuyo",0.718182,0.527273,0.649
"Córdoba",661,3.243,0.499,"Pampean",0.847107,0.42029,0.079
"Chaco",160,2.517,0.496,"North-east",0.935053,0.677019,0.138
"Río Negro",190,2.297,0.438,"Patagonia",0.71843,0.659686,0.288
"La Rioja",63,1.739,0.42,"North-west",0.811659,0.578125,0.13
"Salta",130,1.953,0.401,"North-west",0.836489,0.654135,0.239
"Chubut",241,2.195,0.4,"Patagonia",0.927963,0.621399,0.137
"Santa Fe",434,2.428,0.4,"Pampean",0.733346,0.396061,0.095
"Formosa",110,1.787,0.38,"North-east",0.926471,0.770642,0.105
"Santiago del Estero",81,1.621,0.369,"North-west",0.849206,0.7,0.107
"San Luis",71,1.544,0.362,"Cuyo",0.629851,0.479452,0.319
"Corrientes",155,1.715,0.34,"North-east",0.890181,0.598726,0.405
"Jujuy",98,1.523,0.332,"North-west",0.868074,0.622449,0.061
"CABA",3751,2.572,0.313,"Metropolitan",0.520171,0.196257,0.025
"La Pampa",93,1.38,0.304,"Pampean",0.864865,0.617021,0.243
"Tucumán",131,1.456,0.299,"North-west",0.691892,0.574627,0.186
"Neuquén",150,1.446,0.289,"Patagonia",0.848425,0.632258,0.098
"Buenos Aires",2551,2.04,0.26,"Metropolitan",0.693875,0.495798,0.04
"Mendoza",319,1.491,0.259,"Cuyo",0.81631,0.467692,0.146
"Tierra del Fuego",129,1.256,0.258,"Patagonia",0.904282,0.48855,0.207
"Santa Cruz",139,1.194,0.242,"Patagonia",0.916828,0.664286,0.106
