familia_objeto,objeto_norm,adjudicaciones,proveedores,pct_personas_fisicas
cleaning,elementos de limpieza,17,9,52.9
cleaning,elementos de limpieza desinfectantes e higiene personal,1,1,100.0
clothing and equipment,servicio mant y rep equipos informaticos,1,1,100.0
construction materials,materiales de construccion,9,4,33.3
food,alimentos balanceado para canes,4,2,100.0
food,alimentos para personas,4,3,100.0
food,alimentos para equinos,3,3,66.7
food,alimento balanceado para canes,1,1,100.0
food,alimentos para canes,1,1,100.0
food,alimentos para equino,1,1,100.0
health,insumos medicos,1,1,100.0
maintenance and repair,mantenimiento recarga y matafuego,2,2,50.0
maintenance and repair,mantenimiento cromatografo,1,1,0.0
maintenance and repair,mantenimiento y reparacion de cromatografo,1,1,0.0
maintenance and repair,mantenimiento y reparacion de equipos informaticos,1,1,100.0
maintenance and repair,materiales de construccion y pinturas,1,1,0.0
maintenance and repair,pintura y enduidos,1,1,0.0
maintenance and repair,servicio de mantenimiento y reparacion de aires acondicionados,1,1,100.0
maintenance and repair,servicio de mantenimiento y reparacion de equipos informaticos,1,1,100.0
maintenance and repair,servicio mantenimiento y reparacion cocina y banos,1,1,0.0
maintenance and repair,servicio mantenimiento y reparacion de vehiculos,1,1,100.0
other,agua envasada,2,1,100.0
other,gases especiales para cromatografo,2,2,50.0
other,agua envasada en bidon 20 litros,1,1,100.0
other,agua mineral envasada,1,1,100.0
other,alquiler de inmueble para la unicrifor,1,1,100.0
other,elementos de ferreteria,1,1,0.0
spare parts and tyres,repuestos para vehiculos,4,4,75.0
spare parts and tyres,baterias para vehiculos,2,2,50.0
spare parts and tyres,repuestos para el automotor,2,2,100.0
spare parts and tyres,mantenimiento y reparacion de vehiculos con inclusion de repuestos,1,1,100.0
spare parts and tyres,neumaticos y baterias destinadas al parque automotor de esta jefatura de agrupacion,1,1,100.0
spare parts and tyres,repuestos de vehiculos,1,1,100.0
stationery and printing,elementos de libreria,8,4,25.0
stationery and printing,libreria,6,4,100.0
stationery and printing,adq de toner,3,3,100.0
stationery and printing,toner para impresoras,3,2,100.0
stationery and printing,articulos de libreria papeleria y utiles de oficina,2,2,100.0
stationery and printing,cartuchos de tinta y toner,2,2,100.0
stationery and printing,toner,2,1,100.0
stationery and printing,toner y tinta para impresora,1,1,100.0
