uoc,prov_uoc,loc_gaz,tipo_organismo,n_adj,rango,elegida
84/140 - Comando de Brigada de Monte III,Chaco,Resistencia,seguridad_defensa,938,1,
84/22 - Comando de Brigada de Monte XII,Misiones,Posadas,seguridad_defensa,890,2,
84/48 - Batallón de Ingenieros Anfibios 121,Corrientes,Santo Tomé,seguridad_defensa,654,3,
40/9 - por Base Aérea Militar Resistencia,Chaco,Resistencia,seguridad_defensa,563,4,
46/22 - 22° Formosa - DNV,Formosa,Formosa,infraestructura,521,5,
46/10 - 10° Corrientes - DNV,Corrientes,Corrientes,infraestructura,342,6,
37/017 - Escuadrón 47 Ituzaingo,Corrientes,Ituzaingó,seguridad_defensa,157,7,
37/025 - Escuadrón 9 Oberá,Misiones,Oberá,seguridad_defensa,137,8,
37/078 - Escuadrón 57 Santo Tome,Corrientes,Santo Tomé,seguridad_defensa,129,9,
37/026 - Escuadrón 10 Eldorado,Misiones,Eldorado,seguridad_defensa,127,10,
37/018 - Escuadron 7 Pasos De Los Libres,Corrientes,Paso de los Libres,seguridad_defensa,122,11,
37/027 - Escuadrón 11 San Ignacio,Misiones,San Ignacio,seguridad_defensa,121,12,
37/029 - Escuadrón 13 Iguazú,Misiones,Puerto Iguazú,seguridad_defensa,119,13,
37/015 - Jefatura De Agrupacion III Corrientes,Corrientes,Corrientes,seguridad_defensa,114,14,
74/26 - Parque Nacional Mburucuya,Corrientes,Mburucuyá,administracion,105,15,median anchored unit
37/030 - Jefatura De Agrupación VIFormosa,Formosa,Formosa,seguridad_defensa,100,16,median garrison
37/032 - Escuadrón 16 Clorinda,Formosa,Clorinda,seguridad_defensa,99,17,
37/084 - Escuadrón 14 Las Palmas,Chaco,La Leonesa,seguridad_defensa,96,18,
37/024 - Escuadrón 8 Alto Uruguay,Misiones,Concepción de la Sierra,seguridad_defensa,96,19,
37/77 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 48 CORRIENTES,Corrientes,Corrientes,seguridad_defensa,91,20,
37/028 - Escuadrón 12 Bernardo De Irigoyen,Misiones,Bernardo de Irigoyen,seguridad_defensa,78,21,
37/098 - Escuadron 1 Roque Saenz Peña,Chaco,Presidencia Roque Sáenz Peña,seguridad_defensa,78,22,
37/031 - Escuadrón 5 Pirané,Formosa,Pirané,seguridad_defensa,76,23,
74/52 - PARQUE FEDERAL CAMPO SAN JUAN,Misiones,Campo San Juan,administracion,69,24,
37/76 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 15 BAJO PARAGUAY,Formosa,Formosa,seguridad_defensa,64,25,
74/36 - Reserva Natural Formosa,Formosa,Formosa,administracion,64,26,
37/75 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 50 POSADAS,Misiones,Posadas,seguridad_defensa,53,27,
37/033 - Escuadron 18 Lomitas,Formosa,Las Lomitas,seguridad_defensa,50,28,
37/034 - Escuadrón 19 Ingeniero Juarez,Formosa,Ingeniero Juárez,seguridad_defensa,50,29,
