loc_prov,adjudicaciones,proveedores,pct
CIUDAD AUTONOMA DE BUENOS AIRES,26,15,24.8
MBURUCUYA,17,5,16.2
CORRIENTES,7,4,6.7
CORDOBA,6,4,5.7
PASO DE LOS LIBRES,4,2,3.8
LA PLATA,4,3,3.8
RAMOS MEJIA,3,1,2.9
ROSARIO,3,2,2.9
SAN JUAN,3,1,2.9
VILLA BOSCH,3,1,2.9
MAIPU,3,1,2.9
BAHIA BLANCA,3,1,2.9
LOMAS DE ZAMORA,2,2,1.9
GERLI,2,1,1.9
MAR DEL PLATA,2,2,1.9
GARUPA,2,1,1.9
SAN LUIS,2,2,1.9
ITUZAINGO,1,1,1.0
CABA,1,1,1.0
GRAND BOURG,1,1,1.0
GENERAL MANSILLA,1,1,1.0
CORONDA,1,1,1.0
RIO CUARTO,1,1,1.0
RESISTENCIA,1,1,1.0
MANUEL B. GONNET,1,1,1.0
SAN ANDRES,1,1,1.0
SALADAS,1,1,1.0
URDINARRAIN,1,1,1.0
VILLA BALLESTER,1,1,1.0
VILLA RUMIPAL,1,1,1.0
