familia_objeto,objeto_norm,adjudicaciones,proveedores,pct_personas_fisicas
cleaning,un servicio de limpieza para la intendencia del parque nacional mburucuya,3,1,100.0
cleaning,un servicio de limpieza para el area operativa santa teresa pnmburucuya,2,1,100.0
cleaning,limpieza para la intendencia del parque nacional mburucuya,1,1,100.0
cleaning,servicio de limpieza en la intendencia del pnmburucuya,1,1,100.0
cleaning,un servicio de limpieza para el area operativa operativa santa teresa,1,1,100.0
cleaning,un servicio de limpieza para el area operativa santa teresa parque nacional mbya,1,1,100.0
cleaning,un servicio de limpieza para el centro operativo santa teresa,1,1,100.0
cleaning,un servicio de limpieza para la intendencia del pnmburucuya,1,1,100.0
clothing and equipment,equipos para el funcionamiento administrativo y operativo del pn mburucuya,3,3,33.3
clothing and equipment,equipos de campana,2,2,100.0
clothing and equipment,equipos de comunicacion,2,1,0.0
clothing and equipment,equipos informaticos,2,2,100.0
clothing and equipment,equipos,1,1,100.0
clothing and equipment,equipos de comunicacion para el parque nacional mburucuya,1,1,100.0
clothing and equipment,equipos de monitoreo,1,1,100.0
clothing and equipment,equipos de oficina,1,1,100.0
clothing and equipment,equipos de oficina y muebles para el pnmburucuya,1,1,100.0
construction materials,materiales de construccion,5,5,60.0
construction materials,materiales de construccion para el parque nacional mburucuya,3,3,66.7
construction materials,materiales de construccion para el pnmbyurucuya,3,3,66.7
maintenance and repair,pinturas para el parque nacional mburucuya,7,7,42.9
maintenance and repair,pinturas y lijas,3,3,66.7
maintenance and repair,articulos del hogar y artefactos electricos,2,2,50.0
maintenance and repair,reparacion de vehiculos oficiales del p n mburucuya,1,1,100.0
other,electrodomesticos,3,3,100.0
other,ropas de trabajo,3,3,33.3
other,aires acondicionados y ventiladores para la intendencia del pnmburucuya,2,2,50.0
other,electrodomesticos para el pnmburucuya,2,2,100.0
other,elementos de proteccion personal para el pnmburucuya,2,2,100.0
other,herramientas menores para el pnmburucuya,2,2,0.0
other,herramientas para el parque nacional mburucuya,2,2,50.0
other,ropa de trabajo,2,2,0.0
other,ropa de trabajo para pnmburucuya,2,2,50.0
other,acuerdo marco para la adquisicion de electrodomesticos y afines,1,1,100.0
other,borceguies para el personal del pnmburucuya,1,1,100.0
other,fotocopiadoras para el pnmburucuya,1,1,100.0
other,mochilas y bolsas de dormir para el pnmburucuya,1,1,100.0
other,motor monofasico,1,1,0.0
other,purificadores pnmburucuya,1,1,100.0
other,una desmalezadora de arrastre,1,1,0.0
services,elementos de seguridad pnmburucuya,8,8,25.0
services,elementos de seguridad,7,7,71.4
services,camaras de seguridad,3,3,33.3
services,ropa de trabajo y elementos de seguridad,1,1,100.0
services,servicio de lim pieza area operativa,1,1,100.0
spare parts and tyres,neumaticos para vehiculos oficiales,4,4,25.0
spare parts and tyres,neumaticos para el parque nacional mburucuya,3,2,0.0
spare parts and tyres,antena vhf suma de 4 dipolos con accesorios de instalacion incluido,1,1,100.0
spare parts and tyres,una desmontadora neumatica para vehiculos,1,1,100.0
